County,Category,Proportion,Schooling level,Ratio,Names
Tharaka Nithi,Male,114.6,Primary,Gross Attendance Ratio,"Tharaka Nithi, 114.6%"
Tharaka Nithi,Female,104.9,Primary,Gross Attendance Ratio,"Tharaka Nithi, 104.9%"
Tharaka Nithi,Gender Parity Index,0.92,Primary,Gross Attendance Ratio,"Tharaka Nithi, 0.92%"
Embu,Male,112.5,Primary,Gross Attendance Ratio,"Embu, 112.5%"
Embu,Female,105.1,Primary,Gross Attendance Ratio,"Embu, 105.1%"
Embu,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Embu, 0.93%"
Kitui,Male,118.3,Primary,Gross Attendance Ratio,"Kitui, 118.3%"
Kitui,Female,117.3,Primary,Gross Attendance Ratio,"Kitui, 117.3%"
Kitui,Gender Parity Index,0.99,Primary,Gross Attendance Ratio,"Kitui, 0.99%"
Machakos,Male,115.4,Primary,Gross Attendance Ratio,"Machakos, 115.4%"
Machakos,Female,103.9,Primary,Gross Attendance Ratio,"Machakos, 103.9%"
Machakos,Gender Parity Index,0.9,Primary,Gross Attendance Ratio,"Machakos, 0.9%"
Makueni,Male,114.4,Primary,Gross Attendance Ratio,"Makueni, 114.4%"
Makueni,Female,116.1,Primary,Gross Attendance Ratio,"Makueni, 116.1%"
Makueni,Gender Parity Index,1.01,Primary,Gross Attendance Ratio,"Makueni, 1.01%"
Nyandarua,Male,118.4,Primary,Gross Attendance Ratio,"Nyandarua, 118.4%"
Nyandarua,Female,112.1,Primary,Gross Attendance Ratio,"Nyandarua, 112.1%"
Nyandarua,Gender Parity Index,0.95,Primary,Gross Attendance Ratio,"Nyandarua, 0.95%"
Nyeri,Male,118.2,Primary,Gross Attendance Ratio,"Nyeri, 118.2%"
Nyeri,Female,104.7,Primary,Gross Attendance Ratio,"Nyeri, 104.7%"
Nyeri,Gender Parity Index,0.89,Primary,Gross Attendance Ratio,"Nyeri, 0.89%"
Kirinyaga,Male,104.7,Primary,Gross Attendance Ratio,"Kirinyaga, 104.7%"
Kirinyaga,Female,106.4,Primary,Gross Attendance Ratio,"Kirinyaga, 106.4%"
Kirinyaga,Gender Parity Index,1.02,Primary,Gross Attendance Ratio,"Kirinyaga, 1.02%"
Muranga,Male,108.9,Primary,Gross Attendance Ratio,"Muranga, 108.9%"
Muranga,Female,102.3,Primary,Gross Attendance Ratio,"Muranga, 102.3%"
Muranga,Gender Parity Index,0.94,Primary,Gross Attendance Ratio,"Muranga, 0.94%"
Kiambu,Male,106.1,Primary,Gross Attendance Ratio,"Kiambu, 106.1%"
Kiambu,Female,104.2,Primary,Gross Attendance Ratio,"Kiambu, 104.2%"
Kiambu,Gender Parity Index,0.98,Primary,Gross Attendance Ratio,"Kiambu, 0.98%"
Turkana,Male,60.1,Primary,Gross Attendance Ratio,"Turkana, 60.1%"
Turkana,Female,54.4,Primary,Gross Attendance Ratio,"Turkana, 54.4%"
Turkana,Gender Parity Index,0.91,Primary,Gross Attendance Ratio,"Turkana, 0.91%"
West Pokot,Male,77.9,Primary,Gross Attendance Ratio,"West Pokot, 77.9%"
West Pokot,Female,86.7,Primary,Gross Attendance Ratio,"West Pokot, 86.7%"
West Pokot,Gender Parity Index,1.11,Primary,Gross Attendance Ratio,"West Pokot, 1.11%"
Samburu,Male,70.1,Primary,Gross Attendance Ratio,"Samburu, 70.1%"
Samburu,Female,70.6,Primary,Gross Attendance Ratio,"Samburu, 70.6%"
Samburu,Gender Parity Index,1.01,Primary,Gross Attendance Ratio,"Samburu, 1.01%"
Trans Nzoia,Male,112,Primary,Gross Attendance Ratio,"Trans Nzoia, 112%"
Trans Nzoia,Female,108.1,Primary,Gross Attendance Ratio,"Trans Nzoia, 108.1%"
Trans Nzoia,Gender Parity Index,0.97,Primary,Gross Attendance Ratio,"Trans Nzoia, 0.97%"
Uasin Gishu,Male,107,Primary,Gross Attendance Ratio,"Uasin Gishu, 107%"
Uasin Gishu,Female,109.5,Primary,Gross Attendance Ratio,"Uasin Gishu, 109.5%"
Uasin Gishu,Gender Parity Index,1.02,Primary,Gross Attendance Ratio,"Uasin Gishu, 1.02%"
Elgeyo Marakwet,Male,112.4,Primary,Gross Attendance Ratio,"Elgeyo Marakwet, 112.4%"
Elgeyo Marakwet,Female,108.8,Primary,Gross Attendance Ratio,"Elgeyo Marakwet, 108.8%"
Elgeyo Marakwet,Gender Parity Index,0.97,Primary,Gross Attendance Ratio,"Elgeyo Marakwet, 0.97%"
Nandi,Male,116.7,Primary,Gross Attendance Ratio,"Nandi, 116.7%"
Nandi,Female,112.6,Primary,Gross Attendance Ratio,"Nandi, 112.6%"
Nandi,Gender Parity Index,0.97,Primary,Gross Attendance Ratio,"Nandi, 0.97%"
Baringo,Male,100.4,Primary,Gross Attendance Ratio,"Baringo, 100.4%"
Baringo,Female,113.3,Primary,Gross Attendance Ratio,"Baringo, 113.3%"
Baringo,Gender Parity Index,1.13,Primary,Gross Attendance Ratio,"Baringo, 1.13%"
Laikipia,Male,106.4,Primary,Gross Attendance Ratio,"Laikipia, 106.4%"
Laikipia,Female,106.1,Primary,Gross Attendance Ratio,"Laikipia, 106.1%"
Laikipia,Gender Parity Index,1,Primary,Gross Attendance Ratio,"Laikipia, 1%"
Nakuru,Male,111.1,Primary,Gross Attendance Ratio,"Nakuru, 111.1%"
Nakuru,Female,106.4,Primary,Gross Attendance Ratio,"Nakuru, 106.4%"
Nakuru,Gender Parity Index,0.96,Primary,Gross Attendance Ratio,"Nakuru, 0.96%"
Narok,Male,107.9,Primary,Gross Attendance Ratio,"Narok, 107.9%"
Narok,Female,102.5,Primary,Gross Attendance Ratio,"Narok, 102.5%"
Narok,Gender Parity Index,0.95,Primary,Gross Attendance Ratio,"Narok, 0.95%"
Kajiado,Male,104.4,Primary,Gross Attendance Ratio,"Kajiado, 104.4%"
Kajiado,Female,99.2,Primary,Gross Attendance Ratio,"Kajiado, 99.2%"
Kajiado,Gender Parity Index,0.95,Primary,Gross Attendance Ratio,"Kajiado, 0.95%"
Kericho,Male,108.7,Primary,Gross Attendance Ratio,"Kericho, 108.7%"
Kericho,Female,104.7,Primary,Gross Attendance Ratio,"Kericho, 104.7%"
Kericho,Gender Parity Index,0.96,Primary,Gross Attendance Ratio,"Kericho, 0.96%"
Bomet,Male,125.3,Primary,Gross Attendance Ratio,"Bomet, 125.3%"
Bomet,Female,116.8,Primary,Gross Attendance Ratio,"Bomet, 116.8%"
Bomet,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Bomet, 0.93%"
Kakamega,Male,123.3,Primary,Gross Attendance Ratio,"Kakamega, 123.3%"
Kakamega,Female,115.1,Primary,Gross Attendance Ratio,"Kakamega, 115.1%"
Kakamega,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Kakamega, 0.93%"
Vihiga,Male,120.7,Primary,Gross Attendance Ratio,"Vihiga, 120.7%"
Vihiga,Female,117.8,Primary,Gross Attendance Ratio,"Vihiga, 117.8%"
Vihiga,Gender Parity Index,0.98,Primary,Gross Attendance Ratio,"Vihiga, 0.98%"
Bungoma,Male,116.1,Primary,Gross Attendance Ratio,"Bungoma, 116.1%"
Bungoma,Female,114.5,Primary,Gross Attendance Ratio,"Bungoma, 114.5%"
Bungoma,Gender Parity Index,0.99,Primary,Gross Attendance Ratio,"Bungoma, 0.99%"
Busia,Male,124,Primary,Gross Attendance Ratio,"Busia, 124%"
Busia,Female,111.5,Primary,Gross Attendance Ratio,"Busia, 111.5%"
Busia,Gender Parity Index,0.9,Primary,Gross Attendance Ratio,"Busia, 0.9%"
Siaya,Male,117.2,Primary,Gross Attendance Ratio,"Siaya, 117.2%"
Siaya,Female,108.4,Primary,Gross Attendance Ratio,"Siaya, 108.4%"
Siaya,Gender Parity Index,0.92,Primary,Gross Attendance Ratio,"Siaya, 0.92%"
Kisumu,Male,107.3,Primary,Gross Attendance Ratio,"Kisumu, 107.3%"
Kisumu,Female,110.8,Primary,Gross Attendance Ratio,"Kisumu, 110.8%"
Kisumu,Gender Parity Index,1.03,Primary,Gross Attendance Ratio,"Kisumu, 1.03%"
Homa Bay,Male,111.5,Primary,Gross Attendance Ratio,"Homa Bay, 111.5%"
Homa Bay,Female,100.7,Primary,Gross Attendance Ratio,"Homa Bay, 100.7%"
Homa Bay,Gender Parity Index,0.9,Primary,Gross Attendance Ratio,"Homa Bay, 0.9%"
Migori,Male,115.7,Primary,Gross Attendance Ratio,"Migori, 115.7%"
Migori,Female,106.5,Primary,Gross Attendance Ratio,"Migori, 106.5%"
Migori,Gender Parity Index,0.92,Primary,Gross Attendance Ratio,"Migori, 0.92%"
Kisii,Male,117.5,Primary,Gross Attendance Ratio,"Kisii, 117.5%"
Kisii,Female,108.8,Primary,Gross Attendance Ratio,"Kisii, 108.8%"
Kisii,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Kisii, 0.93%"
Nyamira,Male,117.4,Primary,Gross Attendance Ratio,"Nyamira, 117.4%"
Nyamira,Female,109.7,Primary,Gross Attendance Ratio,"Nyamira, 109.7%"
Nyamira,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Nyamira, 0.93%"
Nairobi,Male,100.1,Primary,Gross Attendance Ratio,"Nairobi, 100.1%"
Nairobi,Female,102.7,Primary,Gross Attendance Ratio,"Nairobi, 102.7%"
Nairobi,Gender Parity Index,1.03,Primary,Gross Attendance Ratio,"Nairobi, 1.03%"
Mombasa,Male,82.7,Secondary,Gross Attendance Ratio,"Mombasa, 82.7%"
Mombasa,Female,75.8,Secondary,Gross Attendance Ratio,"Mombasa, 75.8%"
Mombasa,Gender Parity Index,0.92,Secondary,Gross Attendance Ratio,"Mombasa, 0.92%"
Kwale,Male,48.6,Secondary,Gross Attendance Ratio,"Kwale, 48.6%"
Kwale,Female,43.4,Secondary,Gross Attendance Ratio,"Kwale, 43.4%"
Kwale,Gender Parity Index,0.89,Secondary,Gross Attendance Ratio,"Kwale, 0.89%"
Kilifi,Male,69,Secondary,Gross Attendance Ratio,"Kilifi, 69%"
Kilifi,Female,46.6,Secondary,Gross Attendance Ratio,"Kilifi, 46.6%"
Kilifi,Gender Parity Index,0.68,Secondary,Gross Attendance Ratio,"Kilifi, 0.68%"
Tana River,Male,41.6,Secondary,Gross Attendance Ratio,"Tana River, 41.6%"
Tana River,Female,25.3,Secondary,Gross Attendance Ratio,"Tana River, 25.3%"
Tana River,Gender Parity Index,0.61,Secondary,Gross Attendance Ratio,"Tana River, 0.61%"
Lamu,Male,62.4,Secondary,Gross Attendance Ratio,"Lamu, 62.4%"
Lamu,Female,58.7,Secondary,Gross Attendance Ratio,"Lamu, 58.7%"
Lamu,Gender Parity Index,0.94,Secondary,Gross Attendance Ratio,"Lamu, 0.94%"
Taita Taveta,Male,81.7,Secondary,Gross Attendance Ratio,"Taita Taveta, 81.7%"
Taita Taveta,Female,103.9,Secondary,Gross Attendance Ratio,"Taita Taveta, 103.9%"
Taita Taveta,Gender Parity Index,1.27,Secondary,Gross Attendance Ratio,"Taita Taveta, 1.27%"
Garissa,Male,51.8,Secondary,Gross Attendance Ratio,"Garissa, 51.8%"
Garissa,Female,34.7,Secondary,Gross Attendance Ratio,"Garissa, 34.7%"
Garissa,Gender Parity Index,0.67,Secondary,Gross Attendance Ratio,"Garissa, 0.67%"
Wajir,Male,76.4,Secondary,Gross Attendance Ratio,"Wajir, 76.4%"
Wajir,Female,60.7,Secondary,Gross Attendance Ratio,"Wajir, 60.7%"
Wajir,Gender Parity Index,0.79,Secondary,Gross Attendance Ratio,"Wajir, 0.79%"
Mandera,Male,51.5,Secondary,Gross Attendance Ratio,"Mandera, 51.5%"
Mandera,Female,36.6,Secondary,Gross Attendance Ratio,"Mandera, 36.6%"
Mandera,Gender Parity Index,0.71,Secondary,Gross Attendance Ratio,"Mandera, 0.71%"
Marsabit,Male,62.9,Secondary,Gross Attendance Ratio,"Marsabit, 62.9%"
Marsabit,Female,71.2,Secondary,Gross Attendance Ratio,"Marsabit, 71.2%"
Marsabit,Gender Parity Index,1.13,Secondary,Gross Attendance Ratio,"Marsabit, 1.13%"
Isiolo,Male,70.5,Secondary,Gross Attendance Ratio,"Isiolo, 70.5%"
Isiolo,Female,81.6,Secondary,Gross Attendance Ratio,"Isiolo, 81.6%"
Isiolo,Gender Parity Index,1.16,Secondary,Gross Attendance Ratio,"Isiolo, 1.16%"
Meru,Male,77.8,Secondary,Gross Attendance Ratio,"Meru, 77.8%"
Meru,Female,78.7,Secondary,Gross Attendance Ratio,"Meru, 78.7%"
Meru,Gender Parity Index,1.01,Secondary,Gross Attendance Ratio,"Meru, 1.01%"
Tharaka Nithi,Male,80.4,Secondary,Gross Attendance Ratio,"Tharaka Nithi, 80.4%"
Tharaka Nithi,Female,82.5,Secondary,Gross Attendance Ratio,"Tharaka Nithi, 82.5%"
Tharaka Nithi,Gender Parity Index,1.03,Secondary,Gross Attendance Ratio,"Tharaka Nithi, 1.03%"
Embu,Male,85.8,Secondary,Gross Attendance Ratio,"Embu, 85.8%"
Embu,Female,127.3,Secondary,Gross Attendance Ratio,"Embu, 127.3%"
Embu,Gender Parity Index,1.48,Secondary,Gross Attendance Ratio,"Embu, 1.48%"
Kitui,Male,72.8,Secondary,Gross Attendance Ratio,"Kitui, 72.8%"
Kitui,Female,93.7,Secondary,Gross Attendance Ratio,"Kitui, 93.7%"
Kitui,Gender Parity Index,1.29,Secondary,Gross Attendance Ratio,"Kitui, 1.29%"
Machakos,Male,101.8,Secondary,Gross Attendance Ratio,"Machakos, 101.8%"
Machakos,Female,115.9,Secondary,Gross Attendance Ratio,"Machakos, 115.9%"
Machakos,Gender Parity Index,1.14,Secondary,Gross Attendance Ratio,"Machakos, 1.14%"
Makueni,Male,97.2,Secondary,Gross Attendance Ratio,"Makueni, 97.2%"
Makueni,Female,90.1,Secondary,Gross Attendance Ratio,"Makueni, 90.1%"
Makueni,Gender Parity Index,0.93,Secondary,Gross Attendance Ratio,"Makueni, 0.93%"
Nyandarua,Male,75.6,Secondary,Gross Attendance Ratio,"Nyandarua, 75.6%"
Nyandarua,Female,86.1,Secondary,Gross Attendance Ratio,"Nyandarua, 86.1%"
Nyandarua,Gender Parity Index,1.14,Secondary,Gross Attendance Ratio,"Nyandarua, 1.14%"
Nyeri,Male,88.6,Secondary,Gross Attendance Ratio,"Nyeri, 88.6%"
Nyeri,Female,99,Secondary,Gross Attendance Ratio,"Nyeri, 99%"
Nyeri,Gender Parity Index,1.12,Secondary,Gross Attendance Ratio,"Nyeri, 1.12%"
Kirinyaga,Male,123.1,Secondary,Gross Attendance Ratio,"Kirinyaga, 123.1%"
Kirinyaga,Female,101.2,Secondary,Gross Attendance Ratio,"Kirinyaga, 101.2%"
Kirinyaga,Gender Parity Index,0.82,Secondary,Gross Attendance Ratio,"Kirinyaga, 0.82%"
Muranga,Male,100.5,Secondary,Gross Attendance Ratio,"Muranga, 100.5%"
Muranga,Female,105.7,Secondary,Gross Attendance Ratio,"Muranga, 105.7%"
Muranga,Gender Parity Index,1.05,Secondary,Gross Attendance Ratio,"Muranga, 1.05%"
Kiambu,Male,92.4,Secondary,Gross Attendance Ratio,"Kiambu, 92.4%"
Kiambu,Female,106.2,Secondary,Gross Attendance Ratio,"Kiambu, 106.2%"
Kiambu,Gender Parity Index,1.15,Secondary,Gross Attendance Ratio,"Kiambu, 1.15%"
Turkana,Male,45.9,Secondary,Gross Attendance Ratio,"Turkana, 45.9%"
Turkana,Female,38,Secondary,Gross Attendance Ratio,"Turkana, 38%"
Turkana,Gender Parity Index,0.83,Secondary,Gross Attendance Ratio,"Turkana, 0.83%"
West Pokot,Male,78.3,Secondary,Gross Attendance Ratio,"West Pokot, 78.3%"
West Pokot,Female,63.4,Secondary,Gross Attendance Ratio,"West Pokot, 63.4%"
West Pokot,Gender Parity Index,0.81,Secondary,Gross Attendance Ratio,"West Pokot, 0.81%"
Samburu,Male,60.7,Secondary,Gross Attendance Ratio,"Samburu, 60.7%"
Samburu,Female,35.7,Secondary,Gross Attendance Ratio,"Samburu, 35.7%"
Samburu,Gender Parity Index,0.59,Secondary,Gross Attendance Ratio,"Samburu, 0.59%"
Trans Nzoia,Male,78.4,Secondary,Gross Attendance Ratio,"Trans Nzoia, 78.4%"
Trans Nzoia,Female,86.8,Secondary,Gross Attendance Ratio,"Trans Nzoia, 86.8%"
Trans Nzoia,Gender Parity Index,1.11,Secondary,Gross Attendance Ratio,"Trans Nzoia, 1.11%"
Uasin Gishu,Male,80.9,Secondary,Gross Attendance Ratio,"Uasin Gishu, 80.9%"
Uasin Gishu,Female,84.7,Secondary,Gross Attendance Ratio,"Uasin Gishu, 84.7%"
Uasin Gishu,Gender Parity Index,1.05,Secondary,Gross Attendance Ratio,"Uasin Gishu, 1.05%"
Elgeyo Marakwet,Male,90.8,Secondary,Gross Attendance Ratio,"Elgeyo Marakwet, 90.8%"
Elgeyo Marakwet,Female,98.5,Secondary,Gross Attendance Ratio,"Elgeyo Marakwet, 98.5%"
Elgeyo Marakwet,Gender Parity Index,1.08,Secondary,Gross Attendance Ratio,"Elgeyo Marakwet, 1.08%"
Nandi,Male,86.4,Secondary,Gross Attendance Ratio,"Nandi, 86.4%"
Nandi,Female,91,Secondary,Gross Attendance Ratio,"Nandi, 91%"
Nandi,Gender Parity Index,1.05,Secondary,Gross Attendance Ratio,"Nandi, 1.05%"
Baringo,Male,84.5,Secondary,Gross Attendance Ratio,"Baringo, 84.5%"
Baringo,Female,66.6,Secondary,Gross Attendance Ratio,"Baringo, 66.6%"
Baringo,Gender Parity Index,0.79,Secondary,Gross Attendance Ratio,"Baringo, 0.79%"
Laikipia,Male,91.5,Secondary,Gross Attendance Ratio,"Laikipia, 91.5%"
Laikipia,Female,88.6,Secondary,Gross Attendance Ratio,"Laikipia, 88.6%"
Laikipia,Gender Parity Index,0.97,Secondary,Gross Attendance Ratio,"Laikipia, 0.97%"
Nakuru,Male,92.9,Secondary,Gross Attendance Ratio,"Nakuru, 92.9%"
Nakuru,Female,103.8,Secondary,Gross Attendance Ratio,"Nakuru, 103.8%"
Nakuru,Gender Parity Index,1.12,Secondary,Gross Attendance Ratio,"Nakuru, 1.12%"
Narok,Male,42,Secondary,Gross Attendance Ratio,"Narok, 42%"
Narok,Female,51.1,Secondary,Gross Attendance Ratio,"Narok, 51.1%"
Narok,Gender Parity Index,1.22,Secondary,Gross Attendance Ratio,"Narok, 1.22%"
Kajiado,Male,85.4,Secondary,Gross Attendance Ratio,"Kajiado, 85.4%"
Kajiado,Female,68.9,Secondary,Gross Attendance Ratio,"Kajiado, 68.9%"
Kajiado,Gender Parity Index,0.81,Secondary,Gross Attendance Ratio,"Kajiado, 0.81%"
Kericho,Male,110.4,Secondary,Gross Attendance Ratio,"Kericho, 110.4%"
Kericho,Female,107.7,Secondary,Gross Attendance Ratio,"Kericho, 107.7%"
Kericho,Gender Parity Index,0.98,Secondary,Gross Attendance Ratio,"Kericho, 0.98%"
Bomet,Male,90.7,Secondary,Gross Attendance Ratio,"Bomet, 90.7%"
Bomet,Female,87.7,Secondary,Gross Attendance Ratio,"Bomet, 87.7%"
Bomet,Gender Parity Index,0.97,Secondary,Gross Attendance Ratio,"Bomet, 0.97%"
Kakamega,Male,75.5,Secondary,Gross Attendance Ratio,"Kakamega, 75.5%"
Kakamega,Female,79.8,Secondary,Gross Attendance Ratio,"Kakamega, 79.8%"
Kakamega,Gender Parity Index,1.06,Secondary,Gross Attendance Ratio,"Kakamega, 1.06%"
Vihiga,Male,75.1,Secondary,Gross Attendance Ratio,"Vihiga, 75.1%"
Vihiga,Female,79.4,Secondary,Gross Attendance Ratio,"Vihiga, 79.4%"
Vihiga,Gender Parity Index,1.06,Secondary,Gross Attendance Ratio,"Vihiga, 1.06%"
Bungoma,Male,81.6,Secondary,Gross Attendance Ratio,"Bungoma, 81.6%"
Bungoma,Female,78.5,Secondary,Gross Attendance Ratio,"Bungoma, 78.5%"
Bungoma,Gender Parity Index,0.96,Secondary,Gross Attendance Ratio,"Bungoma, 0.96%"
Busia,Male,74.9,Secondary,Gross Attendance Ratio,"Busia, 74.9%"
Busia,Female,89.3,Secondary,Gross Attendance Ratio,"Busia, 89.3%"
Busia,Gender Parity Index,1.19,Secondary,Gross Attendance Ratio,"Busia, 1.19%"
Siaya,Male,78.4,Secondary,Gross Attendance Ratio,"Siaya, 78.4%"
Siaya,Female,102.3,Secondary,Gross Attendance Ratio,"Siaya, 102.3%"
Siaya,Gender Parity Index,1.3,Secondary,Gross Attendance Ratio,"Siaya, 1.3%"
Kisumu,Male,93.9,Secondary,Gross Attendance Ratio,"Kisumu, 93.9%"
Kisumu,Female,91.7,Secondary,Gross Attendance Ratio,"Kisumu, 91.7%"
Kisumu,Gender Parity Index,0.98,Secondary,Gross Attendance Ratio,"Kisumu, 0.98%"
Homa Bay,Male,76.9,Secondary,Gross Attendance Ratio,"Homa Bay, 76.9%"
Homa Bay,Female,94.1,Secondary,Gross Attendance Ratio,"Homa Bay, 94.1%"
Homa Bay,Gender Parity Index,1.22,Secondary,Gross Attendance Ratio,"Homa Bay, 1.22%"
Migori,Male,48.4,Secondary,Gross Attendance Ratio,"Migori, 48.4%"
Migori,Female,62.2,Secondary,Gross Attendance Ratio,"Migori, 62.2%"
Migori,Gender Parity Index,1.28,Secondary,Gross Attendance Ratio,"Migori, 1.28%"
Kisii,Male,76.1,Secondary,Gross Attendance Ratio,"Kisii, 76.1%"
Kisii,Female,81.6,Secondary,Gross Attendance Ratio,"Kisii, 81.6%"
Kisii,Gender Parity Index,1.07,Secondary,Gross Attendance Ratio,"Kisii, 1.07%"
Nyamira,Male,72.8,Secondary,Gross Attendance Ratio,"Nyamira, 72.8%"
Nyamira,Female,98.8,Secondary,Gross Attendance Ratio,"Nyamira, 98.8%"
Nyamira,Gender Parity Index,1.36,Secondary,Gross Attendance Ratio,"Nyamira, 1.36%"
Nairobi,Male,98.7,Secondary,Gross Attendance Ratio,"Nairobi, 98.7%"
Nairobi,Female,112.3,Secondary,Gross Attendance Ratio,"Nairobi, 112.3%"
Nairobi,Gender Parity Index,1.14,Secondary,Gross Attendance Ratio,"Nairobi, 1.14%"
