County,Reason For Assistance,Proportion,Names
Vihiga,Food aid for ASALs,1.4,"Vihiga, 1.4%"
Vihiga,Health voucher,0,"Vihiga, 0%"
Vihiga,Food/cash for work,5.9,"Vihiga, 5.9%"
Vihiga,School feeding,0.8,"Vihiga, 0.8%"
Vihiga,Hunger safety net program,1.2,"Vihiga, 1.2%"
Vihiga,COVID-19 relief,0.6,"Vihiga, 0.6%"
Vihiga,Other,38.9,"Vihiga, 38.9%"
Bungoma,Receiving cash/social assistance,17.4,"Bungoma, 17.4%"
Bungoma,Orphaned children(<=18),9,"Bungoma, 9%"
Bungoma,Elderly person,24.9,"Bungoma, 24.9%"
Bungoma,Person with severe disability,1.4,"Bungoma, 1.4%"
Bungoma,Urban food subsidy,0,"Bungoma, 0%"
Bungoma,Food aid for ASALs,0,"Bungoma, 0%"
Bungoma,Health voucher,7,"Bungoma, 7%"
Bungoma,Food/cash for work,36.7,"Bungoma, 36.7%"
Bungoma,School feeding,1.3,"Bungoma, 1.3%"
Bungoma,Hunger safety net program,1.9,"Bungoma, 1.9%"
Bungoma,COVID-19 relief,0,"Bungoma, 0%"
Bungoma,Other,33.9,"Bungoma, 33.9%"
Busia,Receiving cash/social assistance,23.7,"Busia, 23.7%"
Busia,Orphaned children(<=18),7.5,"Busia, 7.5%"
Busia,Elderly person,24.7,"Busia, 24.7%"
Busia,Person with severe disability,0.9,"Busia, 0.9%"
Busia,Urban food subsidy,2.9,"Busia, 2.9%"
Busia,Food aid for ASALs,0,"Busia, 0%"
Busia,Health voucher,5.8,"Busia, 5.8%"
Busia,Food/cash for work,36.1,"Busia, 36.1%"
Busia,School feeding,18.3,"Busia, 18.3%"
Busia,Hunger safety net program,5,"Busia, 5%"
Busia,COVID-19 relief,1,"Busia, 1%"
Busia,Other,15,"Busia, 15%"
Siaya,Receiving cash/social assistance,10.5,"Siaya, 10.5%"
Siaya,Orphaned children(<=18),7.2,"Siaya, 7.2%"
Siaya,Elderly person,45.6,"Siaya, 45.6%"
Siaya,Person with severe disability,1.8,"Siaya, 1.8%"
Siaya,Urban food subsidy,2,"Siaya, 2%"
Siaya,Food aid for ASALs,0,"Siaya, 0%"
Siaya,Health voucher,1.2,"Siaya, 1.2%"
Siaya,Food/cash for work,22.6,"Siaya, 22.6%"
Siaya,School feeding,5.7,"Siaya, 5.7%"
Siaya,Hunger safety net program,2.4,"Siaya, 2.4%"
Siaya,COVID-19 relief,10,"Siaya, 10%"
Siaya,Other,18.7,"Siaya, 18.7%"
Kisumu,Receiving cash/social assistance,9,"Kisumu, 9%"
Kisumu,Orphaned children(<=18),14.3,"Kisumu, 14.3%"
Kisumu,Elderly person,22.1,"Kisumu, 22.1%"
Kisumu,Person with severe disability,1.6,"Kisumu, 1.6%"
Kisumu,Urban food subsidy,0,"Kisumu, 0%"
Kisumu,Food aid for ASALs,0,"Kisumu, 0%"
Kisumu,Health voucher,8.1,"Kisumu, 8.1%"
Kisumu,Food/cash for work,9.9,"Kisumu, 9.9%"
Kisumu,School feeding,7.9,"Kisumu, 7.9%"
Kisumu,Hunger safety net program,3.2,"Kisumu, 3.2%"
Kisumu,COVID-19 relief,23,"Kisumu, 23%"
Kisumu,Other,10.1,"Kisumu, 10.1%"
Homa Bay,Receiving cash/social assistance,29.9,"Homa Bay, 29.9%"
Homa Bay,Orphaned children(<=18),6.9,"Homa Bay, 6.9%"
Homa Bay,Elderly person,31.6,"Homa Bay, 31.6%"
Homa Bay,Person with severe disability,1,"Homa Bay, 1%"
Homa Bay,Urban food subsidy,2.7,"Homa Bay, 2.7%"
Homa Bay,Food aid for ASALs,0,"Homa Bay, 0%"
Homa Bay,Health voucher,7.8,"Homa Bay, 7.8%"
Homa Bay,Food/cash for work,44.2,"Homa Bay, 44.2%"
Homa Bay,School feeding,6.3,"Homa Bay, 6.3%"
Homa Bay,Hunger safety net program,0.5,"Homa Bay, 0.5%"
Homa Bay,COVID-19 relief,0,"Homa Bay, 0%"
Homa Bay,Other,25.7,"Homa Bay, 25.7%"
Migori,Receiving cash/social assistance,18.1,"Migori, 18.1%"
Migori,Orphaned children(<=18),10.3,"Migori, 10.3%"
Migori,Elderly person,35.2,"Migori, 35.2%"
Migori,Person with severe disability,4.4,"Migori, 4.4%"
Migori,Urban food subsidy,1,"Migori, 1%"
Migori,Food aid for ASALs,0,"Migori, 0%"
Migori,Health voucher,2,"Migori, 2%"
Migori,Food/cash for work,13.1,"Migori, 13.1%"
Migori,School feeding,0,"Migori, 0%"
Migori,Hunger safety net program,7.4,"Migori, 7.4%"
Migori,COVID-19 relief,0,"Migori, 0%"
Migori,Other,33.3,"Migori, 33.3%"
Kisii,Receiving cash/social assistance,18.4,"Kisii, 18.4%"
Kisii,Orphaned children(<=18),8.7,"Kisii, 8.7%"
Kisii,Elderly person,22,"Kisii, 22%"
Kisii,Person with severe disability,3.1,"Kisii, 3.1%"
Kisii,Urban food subsidy,0.3,"Kisii, 0.3%"
Kisii,Food aid for ASALs,0.8,"Kisii, 0.8%"
Kisii,Health voucher,13.3,"Kisii, 13.3%"
Kisii,Food/cash for work,11.2,"Kisii, 11.2%"
Kisii,School feeding,18.2,"Kisii, 18.2%"
Kisii,Hunger safety net program,0,"Kisii, 0%"
Kisii,COVID-19 relief,1.4,"Kisii, 1.4%"
Kisii,Other,28.6,"Kisii, 28.6%"
Nyamira,Receiving cash/social assistance,19.6,"Nyamira, 19.6%"
Nyamira,Orphaned children(<=18),7.8,"Nyamira, 7.8%"
Nyamira,Elderly person,31.9,"Nyamira, 31.9%"
Nyamira,Person with severe disability,3.6,"Nyamira, 3.6%"
Nyamira,Urban food subsidy,0,"Nyamira, 0%"
Nyamira,Food aid for ASALs,0,"Nyamira, 0%"
Nyamira,Health voucher,0,"Nyamira, 0%"
Nyamira,Food/cash for work,9.7,"Nyamira, 9.7%"
Nyamira,School feeding,0,"Nyamira, 0%"
Nyamira,Hunger safety net program,0,"Nyamira, 0%"
Nyamira,COVID-19 relief,0,"Nyamira, 0%"
Nyamira,Other,54.1,"Nyamira, 54.1%"
Nairobi,Receiving cash/social assistance,10.3,"Nairobi, 10.3%"
Nairobi,Orphaned children(<=18),1,"Nairobi, 1%"
Nairobi,Elderly person,5.2,"Nairobi, 5.2%"
Nairobi,Person with severe disability,0,"Nairobi, 0%"
Nairobi,Urban food subsidy,0.7,"Nairobi, 0.7%"
Nairobi,Food aid for ASALs,0,"Nairobi, 0%"
Nairobi,Health voucher,0.7,"Nairobi, 0.7%"
Nairobi,Food/cash for work,55.3,"Nairobi, 55.3%"
Nairobi,School feeding,6.6,"Nairobi, 6.6%"
Nairobi,Hunger safety net program,0,"Nairobi, 0%"
Nairobi,COVID-19 relief,2.1,"Nairobi, 2.1%"
Nairobi,Other,32.1,"Nairobi, 32.1%"
