"County","Reason For Assistance","Proportion","Names","cat"
"Baringo","School feeding",10.1,"Baringo, 10.1%","8.1-19.9"
"Baringo","Hunger safety net program",9.4,"Baringo, 9.4%","8.1-19.9"
"Baringo","COVID-19 relief",0,"Baringo, 0%","<0.7"
"Baringo","Other",11.7,"Baringo, 11.7%","8.1-19.9"
"Laikipia","Receiving cash/social assistance",15.7,"Laikipia, 15.7%","8.1-19.9"
"Laikipia","Orphaned children(<=18)",3.8,"Laikipia, 3.8%","2.6-8.0"
"Laikipia","Elderly person",36.1,"Laikipia, 36.1%",">19.9"
"Laikipia","Person with severe disability",1.8,"Laikipia, 1.8%","0.7-2.5"
"Laikipia","Urban food subsidy",1.5,"Laikipia, 1.5%","0.7-2.5"
"Laikipia","Food aid for ASALs",1.4,"Laikipia, 1.4%","0.7-2.5"
"Laikipia","Health voucher",1,"Laikipia, 1%","0.7-2.5"
"Laikipia","Food/cash for work",3.2,"Laikipia, 3.2%","2.6-8.0"
"Laikipia","School feeding",0.7,"Laikipia, 0.7%","0.7-2.5"
"Laikipia","Hunger safety net program",3.2,"Laikipia, 3.2%","2.6-8.0"
"Laikipia","COVID-19 relief",0,"Laikipia, 0%","<0.7"
"Laikipia","Other",52.1,"Laikipia, 52.1%",">19.9"
"Nakuru","Receiving cash/social assistance",8.5,"Nakuru, 8.5%","8.1-19.9"
"Nakuru","Orphaned children(<=18)",3.3,"Nakuru, 3.3%","2.6-8.0"
"Nakuru","Elderly person",39.5,"Nakuru, 39.5%",">19.9"
"Nakuru","Person with severe disability",3.7,"Nakuru, 3.7%","2.6-8.0"
"Nakuru","Urban food subsidy",1.3,"Nakuru, 1.3%","0.7-2.5"
"Nakuru","Food aid for ASALs",0,"Nakuru, 0%","<0.7"
"Nakuru","Health voucher",1.8,"Nakuru, 1.8%","0.7-2.5"
"Nakuru","Food/cash for work",8.4,"Nakuru, 8.4%","8.1-19.9"
"Nakuru","School feeding",4.1,"Nakuru, 4.1%","2.6-8.0"
"Nakuru","Hunger safety net program",1.1,"Nakuru, 1.1%","0.7-2.5"
"Nakuru","COVID-19 relief",2.3,"Nakuru, 2.3%","0.7-2.5"
"Nakuru","Other",38.1,"Nakuru, 38.1%",">19.9"
"Narok","Receiving cash/social assistance",14.5,"Narok, 14.5%","8.1-19.9"
"Narok","Orphaned children(<=18)",3,"Narok, 3%","2.6-8.0"
"Narok","Elderly person",9.6,"Narok, 9.6%","8.1-19.9"
"Narok","Person with severe disability",1.1,"Narok, 1.1%","0.7-2.5"
"Narok","Urban food subsidy",0,"Narok, 0%","<0.7"
"Narok","Food aid for ASALs",2,"Narok, 2%","0.7-2.5"
"Narok","Health voucher",0.3,"Narok, 0.3%","<0.7"
"Narok","Food/cash for work",31.2,"Narok, 31.2%",">19.9"
"Narok","School feeding",4.4,"Narok, 4.4%","2.6-8.0"
"Narok","Hunger safety net program",16.8,"Narok, 16.8%","8.1-19.9"
"Narok","COVID-19 relief",10.7,"Narok, 10.7%","8.1-19.9"
"Narok","Other",37.8,"Narok, 37.8%",">19.9"
"Kajiado","Receiving cash/social assistance",11.8,"Kajiado, 11.8%","8.1-19.9"
"Kajiado","Orphaned children(<=18)",2.7,"Kajiado, 2.7%","2.6-8.0"
"Kajiado","Elderly person",12.9,"Kajiado, 12.9%","8.1-19.9"
"Kajiado","Person with severe disability",3.2,"Kajiado, 3.2%","2.6-8.0"
"Kajiado","Urban food subsidy",4.9,"Kajiado, 4.9%","2.6-8.0"
"Kajiado","Food aid for ASALs",19.5,"Kajiado, 19.5%","8.1-19.9"
"Kajiado","Health voucher",1.1,"Kajiado, 1.1%","0.7-2.5"
"Kajiado","Food/cash for work",26.6,"Kajiado, 26.6%",">19.9"
"Kajiado","School feeding",1.1,"Kajiado, 1.1%","0.7-2.5"
"Kajiado","Hunger safety net program",14.1,"Kajiado, 14.1%","8.1-19.9"
"Kajiado","COVID-19 relief",0,"Kajiado, 0%","<0.7"
"Kajiado","Other",28.2,"Kajiado, 28.2%",">19.9"
"Kericho","Receiving cash/social assistance",15.3,"Kericho, 15.3%","8.1-19.9"
"Kericho","Orphaned children(<=18)",4.2,"Kericho, 4.2%","2.6-8.0"
"Kericho","Elderly person",31.4,"Kericho, 31.4%",">19.9"
"Kericho","Person with severe disability",2.4,"Kericho, 2.4%","0.7-2.5"
"Kericho","Urban food subsidy",0,"Kericho, 0%","<0.7"
"Kericho","Food aid for ASALs",0,"Kericho, 0%","<0.7"
"Kericho","Health voucher",2.7,"Kericho, 2.7%","2.6-8.0"
"Kericho","Food/cash for work",4.1,"Kericho, 4.1%","2.6-8.0"
"Kericho","School feeding",16.2,"Kericho, 16.2%","8.1-19.9"
"Kericho","Hunger safety net program",0,"Kericho, 0%","<0.7"
"Kericho","COVID-19 relief",0,"Kericho, 0%","<0.7"
"Kericho","Other",44.4,"Kericho, 44.4%",">19.9"
"Bomet","Receiving cash/social assistance",30.1,"Bomet, 30.1%",">19.9"
"Bomet","Orphaned children(<=18)",2,"Bomet, 2%","0.7-2.5"
"Bomet","Elderly person",15.8,"Bomet, 15.8%","8.1-19.9"
"Bomet","Person with severe disability",0.4,"Bomet, 0.4%","<0.7"
"Bomet","Urban food subsidy",0.1,"Bomet, 0.1%","<0.7"
"Bomet","Food aid for ASALs",0,"Bomet, 0%","<0.7"
"Bomet","Health voucher",0.6,"Bomet, 0.6%","<0.7"
"Bomet","Food/cash for work",5.1,"Bomet, 5.1%","2.6-8.0"
"Bomet","School feeding",6.8,"Bomet, 6.8%","2.6-8.0"
"Bomet","Hunger safety net program",0.5,"Bomet, 0.5%","<0.7"
"Bomet","COVID-19 relief",0,"Bomet, 0%","<0.7"
"Bomet","Other",74.1,"Bomet, 74.1%",">19.9"
"Kakamega","Receiving cash/social assistance",13.1,"Kakamega, 13.1%","8.1-19.9"
"Kakamega","Orphaned children(<=18)",3.2,"Kakamega, 3.2%","2.6-8.0"
"Kakamega","Elderly person",40.6,"Kakamega, 40.6%",">19.9"
"Kakamega","Person with severe disability",1.8,"Kakamega, 1.8%","0.7-2.5"
"Kakamega","Urban food subsidy",0,"Kakamega, 0%","<0.7"
"Kakamega","Food aid for ASALs",0.4,"Kakamega, 0.4%","<0.7"
"Kakamega","Health voucher",4,"Kakamega, 4%","2.6-8.0"
"Kakamega","Food/cash for work",19.4,"Kakamega, 19.4%","8.1-19.9"
"Kakamega","School feeding",12.1,"Kakamega, 12.1%","8.1-19.9"
"Kakamega","Hunger safety net program",2.7,"Kakamega, 2.7%","2.6-8.0"
"Kakamega","COVID-19 relief",1.5,"Kakamega, 1.5%","0.7-2.5"
"Kakamega","Other",22.8,"Kakamega, 22.8%",">19.9"
"Vihiga","Receiving cash/social assistance",18.3,"Vihiga, 18.3%","8.1-19.9"
"Vihiga","Orphaned children(<=18)",5.2,"Vihiga, 5.2%","2.6-8.0"
"Vihiga","Elderly person",49.5,"Vihiga, 49.5%",">19.9"
"Vihiga","Person with severe disability",3.9,"Vihiga, 3.9%","2.6-8.0"
"Vihiga","Urban food subsidy",0,"Vihiga, 0%","<0.7"
"Vihiga","Food aid for ASALs",1.4,"Vihiga, 1.4%","0.7-2.5"
"Vihiga","Health voucher",0,"Vihiga, 0%","<0.7"
"Vihiga","Food/cash for work",5.9,"Vihiga, 5.9%","2.6-8.0"
"Vihiga","School feeding",0.8,"Vihiga, 0.8%","0.7-2.5"
"Vihiga","Hunger safety net program",1.2,"Vihiga, 1.2%","0.7-2.5"
"Vihiga","COVID-19 relief",0.6,"Vihiga, 0.6%","<0.7"
"Vihiga","Other",38.9,"Vihiga, 38.9%",">19.9"
"Bungoma","Receiving cash/social assistance",17.4,"Bungoma, 17.4%","8.1-19.9"
"Bungoma","Orphaned children(<=18)",9,"Bungoma, 9%","8.1-19.9"
"Bungoma","Elderly person",24.9,"Bungoma, 24.9%",">19.9"
"Bungoma","Person with severe disability",1.4,"Bungoma, 1.4%","0.7-2.5"
"Bungoma","Urban food subsidy",0,"Bungoma, 0%","<0.7"
"Bungoma","Food aid for ASALs",0,"Bungoma, 0%","<0.7"
"Bungoma","Health voucher",7,"Bungoma, 7%","2.6-8.0"
"Bungoma","Food/cash for work",36.7,"Bungoma, 36.7%",">19.9"
"Bungoma","School feeding",1.3,"Bungoma, 1.3%","0.7-2.5"
"Bungoma","Hunger safety net program",1.9,"Bungoma, 1.9%","0.7-2.5"
"Bungoma","COVID-19 relief",0,"Bungoma, 0%","<0.7"
"Bungoma","Other",33.9,"Bungoma, 33.9%",">19.9"
"Busia","Receiving cash/social assistance",23.7,"Busia, 23.7%",">19.9"
"Busia","Orphaned children(<=18)",7.5,"Busia, 7.5%","2.6-8.0"
"Busia","Elderly person",24.7,"Busia, 24.7%",">19.9"
"Busia","Person with severe disability",0.9,"Busia, 0.9%","0.7-2.5"
"Busia","Urban food subsidy",2.9,"Busia, 2.9%","2.6-8.0"
"Busia","Food aid for ASALs",0,"Busia, 0%","<0.7"
"Busia","Health voucher",5.8,"Busia, 5.8%","2.6-8.0"
"Busia","Food/cash for work",36.1,"Busia, 36.1%",">19.9"
"Busia","School feeding",18.3,"Busia, 18.3%","8.1-19.9"
"Busia","Hunger safety net program",5,"Busia, 5%","2.6-8.0"
"Busia","COVID-19 relief",1,"Busia, 1%","0.7-2.5"
"Busia","Other",15,"Busia, 15%","8.1-19.9"
"Siaya","Receiving cash/social assistance",10.5,"Siaya, 10.5%","8.1-19.9"
"Siaya","Orphaned children(<=18)",7.2,"Siaya, 7.2%","2.6-8.0"
"Siaya","Elderly person",45.6,"Siaya, 45.6%",">19.9"
"Siaya","Person with severe disability",1.8,"Siaya, 1.8%","0.7-2.5"
"Siaya","Urban food subsidy",2,"Siaya, 2%","0.7-2.5"
"Siaya","Food aid for ASALs",0,"Siaya, 0%","<0.7"
"Siaya","Health voucher",1.2,"Siaya, 1.2%","0.7-2.5"
"Siaya","Food/cash for work",22.6,"Siaya, 22.6%",">19.9"
"Siaya","School feeding",5.7,"Siaya, 5.7%","2.6-8.0"
"Siaya","Hunger safety net program",2.4,"Siaya, 2.4%","0.7-2.5"
"Siaya","COVID-19 relief",10,"Siaya, 10%","8.1-19.9"
"Siaya","Other",18.7,"Siaya, 18.7%","8.1-19.9"
"Kisumu","Receiving cash/social assistance",9,"Kisumu, 9%","8.1-19.9"
"Kisumu","Orphaned children(<=18)",14.3,"Kisumu, 14.3%","8.1-19.9"
"Kisumu","Elderly person",22.1,"Kisumu, 22.1%",">19.9"
"Kisumu","Person with severe disability",1.6,"Kisumu, 1.6%","0.7-2.5"
"Kisumu","Urban food subsidy",0,"Kisumu, 0%","<0.7"
"Kisumu","Food aid for ASALs",0,"Kisumu, 0%","<0.7"
"Kisumu","Health voucher",8.1,"Kisumu, 8.1%","8.1-19.9"
"Kisumu","Food/cash for work",9.9,"Kisumu, 9.9%","8.1-19.9"
"Kisumu","School feeding",7.9,"Kisumu, 7.9%","2.6-8.0"
"Kisumu","Hunger safety net program",3.2,"Kisumu, 3.2%","2.6-8.0"
"Kisumu","COVID-19 relief",23,"Kisumu, 23%",">19.9"
"Kisumu","Other",10.1,"Kisumu, 10.1%","8.1-19.9"
"Homa Bay","Receiving cash/social assistance",29.9,"Homa Bay, 29.9%",">19.9"
"Homa Bay","Orphaned children(<=18)",6.9,"Homa Bay, 6.9%","2.6-8.0"
"Homa Bay","Elderly person",31.6,"Homa Bay, 31.6%",">19.9"
"Homa Bay","Person with severe disability",1,"Homa Bay, 1%","0.7-2.5"
"Homa Bay","Urban food subsidy",2.7,"Homa Bay, 2.7%","2.6-8.0"
"Homa Bay","Food aid for ASALs",0,"Homa Bay, 0%","<0.7"
"Homa Bay","Health voucher",7.8,"Homa Bay, 7.8%","2.6-8.0"
"Homa Bay","Food/cash for work",44.2,"Homa Bay, 44.2%",">19.9"
"Homa Bay","School feeding",6.3,"Homa Bay, 6.3%","2.6-8.0"
"Homa Bay","Hunger safety net program",0.5,"Homa Bay, 0.5%","<0.7"
"Homa Bay","COVID-19 relief",0,"Homa Bay, 0%","<0.7"
"Homa Bay","Other",25.7,"Homa Bay, 25.7%",">19.9"
"Migori","Receiving cash/social assistance",18.1,"Migori, 18.1%","8.1-19.9"
"Migori","Orphaned children(<=18)",10.3,"Migori, 10.3%","8.1-19.9"
"Migori","Elderly person",35.2,"Migori, 35.2%",">19.9"
"Migori","Person with severe disability",4.4,"Migori, 4.4%","2.6-8.0"
"Migori","Urban food subsidy",1,"Migori, 1%","0.7-2.5"
"Migori","Food aid for ASALs",0,"Migori, 0%","<0.7"
"Migori","Health voucher",2,"Migori, 2%","0.7-2.5"
"Migori","Food/cash for work",13.1,"Migori, 13.1%","8.1-19.9"
"Migori","School feeding",0,"Migori, 0%","<0.7"
"Migori","Hunger safety net program",7.4,"Migori, 7.4%","2.6-8.0"
"Migori","COVID-19 relief",0,"Migori, 0%","<0.7"
"Migori","Other",33.3,"Migori, 33.3%",">19.9"
"Kisii","Receiving cash/social assistance",18.4,"Kisii, 18.4%","8.1-19.9"
"Kisii","Orphaned children(<=18)",8.7,"Kisii, 8.7%","8.1-19.9"
"Kisii","Elderly person",22,"Kisii, 22%",">19.9"
"Kisii","Person with severe disability",3.1,"Kisii, 3.1%","2.6-8.0"
"Kisii","Urban food subsidy",0.3,"Kisii, 0.3%","<0.7"
"Kisii","Food aid for ASALs",0.8,"Kisii, 0.8%","0.7-2.5"
"Kisii","Health voucher",13.3,"Kisii, 13.3%","8.1-19.9"
"Kisii","Food/cash for work",11.2,"Kisii, 11.2%","8.1-19.9"
"Kisii","School feeding",18.2,"Kisii, 18.2%","8.1-19.9"
"Kisii","Hunger safety net program",0,"Kisii, 0%","<0.7"
"Kisii","COVID-19 relief",1.4,"Kisii, 1.4%","0.7-2.5"
"Kisii","Other",28.6,"Kisii, 28.6%",">19.9"
"Nyamira","Receiving cash/social assistance",19.6,"Nyamira, 19.6%","8.1-19.9"
"Nyamira","Orphaned children(<=18)",7.8,"Nyamira, 7.8%","2.6-8.0"
"Nyamira","Elderly person",31.9,"Nyamira, 31.9%",">19.9"
"Nyamira","Person with severe disability",3.6,"Nyamira, 3.6%","2.6-8.0"
"Nyamira","Urban food subsidy",0,"Nyamira, 0%","<0.7"
"Nyamira","Food aid for ASALs",0,"Nyamira, 0%","<0.7"
"Nyamira","Health voucher",0,"Nyamira, 0%","<0.7"
"Nyamira","Food/cash for work",9.7,"Nyamira, 9.7%","8.1-19.9"
"Nyamira","School feeding",0,"Nyamira, 0%","<0.7"
"Nyamira","Hunger safety net program",0,"Nyamira, 0%","<0.7"
"Nyamira","COVID-19 relief",0,"Nyamira, 0%","<0.7"
"Nyamira","Other",54.1,"Nyamira, 54.1%",">19.9"
"Nairobi","Receiving cash/social assistance",10.3,"Nairobi, 10.3%","8.1-19.9"
"Nairobi","Orphaned children(<=18)",1,"Nairobi, 1%","0.7-2.5"
"Nairobi","Elderly person",5.2,"Nairobi, 5.2%","2.6-8.0"
"Nairobi","Person with severe disability",0,"Nairobi, 0%","<0.7"
"Nairobi","Urban food subsidy",0.7,"Nairobi, 0.7%","0.7-2.5"
"Nairobi","Food aid for ASALs",0,"Nairobi, 0%","<0.7"
"Nairobi","Health voucher",0.7,"Nairobi, 0.7%","0.7-2.5"
"Nairobi","Food/cash for work",55.3,"Nairobi, 55.3%",">19.9"
"Nairobi","School feeding",6.6,"Nairobi, 6.6%","2.6-8.0"
"Nairobi","Hunger safety net program",0,"Nairobi, 0%","<0.7"
"Nairobi","COVID-19 relief",2.1,"Nairobi, 2.1%","0.7-2.5"
"Nairobi","Other",32.1,"Nairobi, 32.1%",">19.9"
