County,Reason For Migration,Proportion,Participants,Names
Elgeyo Marakwet,Education/training,9.5,Men,"Elgeyo Marakwet, 9.5%"
Elgeyo Marakwet,Marriage formation,0,Men,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Family reasons,16.1,Men,"Elgeyo Marakwet, 16.1%"
Elgeyo Marakwet,Forced displacment,0,Men,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Other,0,Men,"Elgeyo Marakwet, 0%"
Nandi,Employment,41.4,Men,"Nandi, 41.4%"
Nandi,Education/training,29,Men,"Nandi, 29%"
Nandi,Marriage formation,2.4,Men,"Nandi, 2.4%"
Nandi,Family reasons,24.7,Men,"Nandi, 24.7%"
Nandi,Forced displacment,2.5,Men,"Nandi, 2.5%"
Nandi,Other,0,Men,"Nandi, 0%"
Baringo,Employment,85.6,Men,"Baringo, 85.6%"
Baringo,Education/training,7.9,Men,"Baringo, 7.9%"
Baringo,Marriage formation,0,Men,"Baringo, 0%"
Baringo,Family reasons,6.5,Men,"Baringo, 6.5%"
Baringo,Forced displacment,0,Men,"Baringo, 0%"
Baringo,Other,0,Men,"Baringo, 0%"
Laikipia,Employment,52.9,Men,"Laikipia, 52.9%"
Laikipia,Education/training,10.2,Men,"Laikipia, 10.2%"
Laikipia,Marriage formation,0.6,Men,"Laikipia, 0.6%"
Laikipia,Family reasons,31.9,Men,"Laikipia, 31.9%"
Laikipia,Forced displacment,2.1,Men,"Laikipia, 2.1%"
Laikipia,Other,2.2,Men,"Laikipia, 2.2%"
Nakuru,Employment,56.4,Men,"Nakuru, 56.4%"
Nakuru,Education/training,10.3,Men,"Nakuru, 10.3%"
Nakuru,Marriage formation,0,Men,"Nakuru, 0%"
Nakuru,Family reasons,28.1,Men,"Nakuru, 28.1%"
Nakuru,Forced displacment,4.4,Men,"Nakuru, 4.4%"
Nakuru,Other,0.8,Men,"Nakuru, 0.8%"
Narok,Employment,78.2,Men,"Narok, 78.2%"
Narok,Education/training,7.4,Men,"Narok, 7.4%"
Narok,Marriage formation,0.6,Men,"Narok, 0.6%"
Narok,Family reasons,13.9,Men,"Narok, 13.9%"
Narok,Forced displacment,0,Men,"Narok, 0%"
Narok,Other,0,Men,"Narok, 0%"
Kajiado,Employment,70.2,Men,"Kajiado, 70.2%"
Kajiado,Education/training,3.2,Men,"Kajiado, 3.2%"
Kajiado,Marriage formation,0,Men,"Kajiado, 0%"
Kajiado,Family reasons,10.8,Men,"Kajiado, 10.8%"
Kajiado,Forced displacment,0,Men,"Kajiado, 0%"
Kajiado,Other,15.8,Men,"Kajiado, 15.8%"
Kericho,Employment,87.7,Men,"Kericho, 87.7%"
Kericho,Education/training,6.2,Men,"Kericho, 6.2%"
Kericho,Marriage formation,0,Men,"Kericho, 0%"
Kericho,Family reasons,6.1,Men,"Kericho, 6.1%"
Kericho,Forced displacment,0,Men,"Kericho, 0%"
Kericho,Other,0,Men,"Kericho, 0%"
Bomet,Employment,61.6,Men,"Bomet, 61.6%"
Bomet,Education/training,25.7,Men,"Bomet, 25.7%"
Bomet,Marriage formation,0,Men,"Bomet, 0%"
Bomet,Family reasons,9.7,Men,"Bomet, 9.7%"
Bomet,Forced displacment,2.9,Men,"Bomet, 2.9%"
Bomet,Other,0,Men,"Bomet, 0%"
Kakamega,Employment,58.7,Men,"Kakamega, 58.7%"
Kakamega,Education/training,13,Men,"Kakamega, 13%"
Kakamega,Marriage formation,0,Men,"Kakamega, 0%"
Kakamega,Family reasons,21.8,Men,"Kakamega, 21.8%"
Kakamega,Forced displacment,0,Men,"Kakamega, 0%"
Kakamega,Other,6.4,Men,"Kakamega, 6.4%"
Vihiga,Employment,44.4,Men,"Vihiga, 44.4%"
Vihiga,Education/training,11.7,Men,"Vihiga, 11.7%"
Vihiga,Marriage formation,0,Men,"Vihiga, 0%"
Vihiga,Family reasons,43.8,Men,"Vihiga, 43.8%"
Vihiga,Forced displacment,0,Men,"Vihiga, 0%"
Vihiga,Other,0,Men,"Vihiga, 0%"
Bungoma,Employment,38.1,Men,"Bungoma, 38.1%"
Bungoma,Education/training,6.9,Men,"Bungoma, 6.9%"
Bungoma,Marriage formation,0,Men,"Bungoma, 0%"
Bungoma,Family reasons,53,Men,"Bungoma, 53%"
Bungoma,Forced displacment,2,Men,"Bungoma, 2%"
Bungoma,Other,0,Men,"Bungoma, 0%"
Busia,Employment,39.9,Men,"Busia, 39.9%"
Busia,Education/training,7.6,Men,"Busia, 7.6%"
Busia,Marriage formation,0,Men,"Busia, 0%"
Busia,Family reasons,52,Men,"Busia, 52%"
Busia,Forced displacment,0.5,Men,"Busia, 0.5%"
Busia,Other,0,Men,"Busia, 0%"
Siaya,Employment,35.5,Men,"Siaya, 35.5%"
Siaya,Education/training,10.7,Men,"Siaya, 10.7%"
Siaya,Marriage formation,0,Men,"Siaya, 0%"
Siaya,Family reasons,51.8,Men,"Siaya, 51.8%"
Siaya,Forced displacment,0.5,Men,"Siaya, 0.5%"
Siaya,Other,1.6,Men,"Siaya, 1.6%"
Kisumu,Employment,79.1,Men,"Kisumu, 79.1%"
Kisumu,Education/training,4.1,Men,"Kisumu, 4.1%"
Kisumu,Marriage formation,0,Men,"Kisumu, 0%"
Kisumu,Family reasons,16.8,Men,"Kisumu, 16.8%"
Kisumu,Forced displacment,0,Men,"Kisumu, 0%"
Kisumu,Other,0,Men,"Kisumu, 0%"
Homa Bay,Employment,39.2,Men,"Homa Bay, 39.2%"
Homa Bay,Education/training,13.1,Men,"Homa Bay, 13.1%"
Homa Bay,Marriage formation,0,Men,"Homa Bay, 0%"
Homa Bay,Family reasons,47.7,Men,"Homa Bay, 47.7%"
Homa Bay,Forced displacment,0,Men,"Homa Bay, 0%"
Homa Bay,Other,0,Men,"Homa Bay, 0%"
Migori,Employment,24.2,Men,"Migori, 24.2%"
Migori,Education/training,6.7,Men,"Migori, 6.7%"
Migori,Marriage formation,1.3,Men,"Migori, 1.3%"
Migori,Family reasons,63.7,Men,"Migori, 63.7%"
Migori,Forced displacment,2,Men,"Migori, 2%"
Migori,Other,2.1,Men,"Migori, 2.1%"
Kisii,Employment,23.7,Men,"Kisii, 23.7%"
Kisii,Education/training,21.5,Men,"Kisii, 21.5%"
Kisii,Marriage formation,0,Men,"Kisii, 0%"
Kisii,Family reasons,53.3,Men,"Kisii, 53.3%"
Kisii,Forced displacment,1.5,Men,"Kisii, 1.5%"
Kisii,Other,0,Men,"Kisii, 0%"
Nyamira,Employment,44.4,Men,"Nyamira, 44.4%"
Nyamira,Education/training,7.9,Men,"Nyamira, 7.9%"
Nyamira,Marriage formation,0,Men,"Nyamira, 0%"
Nyamira,Family reasons,47.7,Men,"Nyamira, 47.7%"
Nyamira,Forced displacment,0,Men,"Nyamira, 0%"
Nyamira,Other,0,Men,"Nyamira, 0%"
Nairobi,Employment,66.5,Men,"Nairobi, 66.5%"
Nairobi,Education/training,16.2,Men,"Nairobi, 16.2%"
Nairobi,Marriage formation,0.3,Men,"Nairobi, 0.3%"
Nairobi,Family reasons,10.2,Men,"Nairobi, 10.2%"
Nairobi,Forced displacment,0.7,Men,"Nairobi, 0.7%"
Nairobi,Other,6.2,Men,"Nairobi, 6.2%"
