"","County","Reason.For.Migration","Proportion","Participants","Names"
"408","Muranga","Other",5.3,"Men","Muranga, 5.3%"
"409","Kiambu","Employment",68.9,"Men","Kiambu, 68.9%"
"410","Kiambu","Education/training",11.4,"Men","Kiambu, 11.4%"
"411","Kiambu","Marriage formation",0,"Men","Kiambu, 0%"
"412","Kiambu","Family reasons",18.2,"Men","Kiambu, 18.2%"
"413","Kiambu","Forced displacment",0,"Men","Kiambu, 0%"
"414","Kiambu","Other",1.6,"Men","Kiambu, 1.6%"
"415","Turkana","Employment",69.9,"Men","Turkana, 69.9%"
"416","Turkana","Education/training",17.8,"Men","Turkana, 17.8%"
"417","Turkana","Marriage formation",0,"Men","Turkana, 0%"
"418","Turkana","Family reasons",12.3,"Men","Turkana, 12.3%"
"419","Turkana","Forced displacment",0,"Men","Turkana, 0%"
"420","Turkana","Other",0,"Men","Turkana, 0%"
"421","West Pokot","Employment",84.3,"Men","West Pokot, 84.3%"
"422","West Pokot","Education/training",5.5,"Men","West Pokot, 5.5%"
"423","West Pokot","Marriage formation",0,"Men","West Pokot, 0%"
"424","West Pokot","Family reasons",9.4,"Men","West Pokot, 9.4%"
"425","West Pokot","Forced displacment",0,"Men","West Pokot, 0%"
"426","West Pokot","Other",0.8,"Men","West Pokot, 0.8%"
"427","Samburu","Employment",72.2,"Men","Samburu, 72.2%"
"428","Samburu","Education/training",15.9,"Men","Samburu, 15.9%"
"429","Samburu","Marriage formation",0,"Men","Samburu, 0%"
"430","Samburu","Family reasons",10.3,"Men","Samburu, 10.3%"
"431","Samburu","Forced displacment",0,"Men","Samburu, 0%"
"432","Samburu","Other",1.6,"Men","Samburu, 1.6%"
"433","Trans Nzoia","Employment",NA,"Men","Trans Nzoia, NA%"
"434","Trans Nzoia","Education/training",NA,"Men","Trans Nzoia, NA%"
"435","Trans Nzoia","Marriage formation",NA,"Men","Trans Nzoia, NA%"
"436","Trans Nzoia","Family reasons",NA,"Men","Trans Nzoia, NA%"
"437","Trans Nzoia","Forced displacment",NA,"Men","Trans Nzoia, NA%"
"438","Trans Nzoia","Other",NA,"Men","Trans Nzoia, NA%"
"439","Uasin Gishu","Employment",48.6,"Men","Uasin Gishu, 48.6%"
"440","Uasin Gishu","Education/training",16.5,"Men","Uasin Gishu, 16.5%"
"441","Uasin Gishu","Marriage formation",0,"Men","Uasin Gishu, 0%"
"442","Uasin Gishu","Family reasons",34.1,"Men","Uasin Gishu, 34.1%"
"443","Uasin Gishu","Forced displacment",0.8,"Men","Uasin Gishu, 0.8%"
"444","Uasin Gishu","Other",0,"Men","Uasin Gishu, 0%"
"445","Elgeyo Marakwet","Employment",74.4,"Men","Elgeyo Marakwet, 74.4%"
"446","Elgeyo Marakwet","Education/training",9.5,"Men","Elgeyo Marakwet, 9.5%"
"447","Elgeyo Marakwet","Marriage formation",0,"Men","Elgeyo Marakwet, 0%"
"448","Elgeyo Marakwet","Family reasons",16.1,"Men","Elgeyo Marakwet, 16.1%"
"449","Elgeyo Marakwet","Forced displacment",0,"Men","Elgeyo Marakwet, 0%"
"450","Elgeyo Marakwet","Other",0,"Men","Elgeyo Marakwet, 0%"
"451","Nandi","Employment",41.4,"Men","Nandi, 41.4%"
"452","Nandi","Education/training",29,"Men","Nandi, 29%"
"453","Nandi","Marriage formation",2.4,"Men","Nandi, 2.4%"
"454","Nandi","Family reasons",24.7,"Men","Nandi, 24.7%"
"455","Nandi","Forced displacment",2.5,"Men","Nandi, 2.5%"
"456","Nandi","Other",0,"Men","Nandi, 0%"
"457","Baringo","Employment",85.6,"Men","Baringo, 85.6%"
"458","Baringo","Education/training",7.9,"Men","Baringo, 7.9%"
"459","Baringo","Marriage formation",0,"Men","Baringo, 0%"
"460","Baringo","Family reasons",6.5,"Men","Baringo, 6.5%"
"461","Baringo","Forced displacment",0,"Men","Baringo, 0%"
"462","Baringo","Other",0,"Men","Baringo, 0%"
"463","Laikipia","Employment",52.9,"Men","Laikipia, 52.9%"
"464","Laikipia","Education/training",10.2,"Men","Laikipia, 10.2%"
"465","Laikipia","Marriage formation",0.6,"Men","Laikipia, 0.6%"
"466","Laikipia","Family reasons",31.9,"Men","Laikipia, 31.9%"
"467","Laikipia","Forced displacment",2.1,"Men","Laikipia, 2.1%"
"468","Laikipia","Other",2.2,"Men","Laikipia, 2.2%"
"469","Nakuru","Employment",56.4,"Men","Nakuru, 56.4%"
"470","Nakuru","Education/training",10.3,"Men","Nakuru, 10.3%"
"471","Nakuru","Marriage formation",0,"Men","Nakuru, 0%"
"472","Nakuru","Family reasons",28.1,"Men","Nakuru, 28.1%"
"473","Nakuru","Forced displacment",4.4,"Men","Nakuru, 4.4%"
"474","Nakuru","Other",0.8,"Men","Nakuru, 0.8%"
"475","Narok","Employment",78.2,"Men","Narok, 78.2%"
"476","Narok","Education/training",7.4,"Men","Narok, 7.4%"
"477","Narok","Marriage formation",0.6,"Men","Narok, 0.6%"
"478","Narok","Family reasons",13.9,"Men","Narok, 13.9%"
"479","Narok","Forced displacment",0,"Men","Narok, 0%"
"480","Narok","Other",0,"Men","Narok, 0%"
"481","Kajiado","Employment",70.2,"Men","Kajiado, 70.2%"
"482","Kajiado","Education/training",3.2,"Men","Kajiado, 3.2%"
"483","Kajiado","Marriage formation",0,"Men","Kajiado, 0%"
"484","Kajiado","Family reasons",10.8,"Men","Kajiado, 10.8%"
"485","Kajiado","Forced displacment",0,"Men","Kajiado, 0%"
"486","Kajiado","Other",15.8,"Men","Kajiado, 15.8%"
"487","Kericho","Employment",87.7,"Men","Kericho, 87.7%"
"488","Kericho","Education/training",6.2,"Men","Kericho, 6.2%"
"489","Kericho","Marriage formation",0,"Men","Kericho, 0%"
"490","Kericho","Family reasons",6.1,"Men","Kericho, 6.1%"
"491","Kericho","Forced displacment",0,"Men","Kericho, 0%"
"492","Kericho","Other",0,"Men","Kericho, 0%"
"493","Bomet","Employment",61.6,"Men","Bomet, 61.6%"
"494","Bomet","Education/training",25.7,"Men","Bomet, 25.7%"
"495","Bomet","Marriage formation",0,"Men","Bomet, 0%"
"496","Bomet","Family reasons",9.7,"Men","Bomet, 9.7%"
"497","Bomet","Forced displacment",2.9,"Men","Bomet, 2.9%"
"498","Bomet","Other",0,"Men","Bomet, 0%"
"499","Kakamega","Employment",58.7,"Men","Kakamega, 58.7%"
"500","Kakamega","Education/training",13,"Men","Kakamega, 13%"
"501","Kakamega","Marriage formation",0,"Men","Kakamega, 0%"
"502","Kakamega","Family reasons",21.8,"Men","Kakamega, 21.8%"
"503","Kakamega","Forced displacment",0,"Men","Kakamega, 0%"
"504","Kakamega","Other",6.4,"Men","Kakamega, 6.4%"
"505","Vihiga","Employment",44.4,"Men","Vihiga, 44.4%"
"506","Vihiga","Education/training",11.7,"Men","Vihiga, 11.7%"
"507","Vihiga","Marriage formation",0,"Men","Vihiga, 0%"
"508","Vihiga","Family reasons",43.8,"Men","Vihiga, 43.8%"
"509","Vihiga","Forced displacment",0,"Men","Vihiga, 0%"
"510","Vihiga","Other",0,"Men","Vihiga, 0%"
"511","Bungoma","Employment",38.1,"Men","Bungoma, 38.1%"
"512","Bungoma","Education/training",6.9,"Men","Bungoma, 6.9%"
"513","Bungoma","Marriage formation",0,"Men","Bungoma, 0%"
"514","Bungoma","Family reasons",53,"Men","Bungoma, 53%"
"515","Bungoma","Forced displacment",2,"Men","Bungoma, 2%"
"516","Bungoma","Other",0,"Men","Bungoma, 0%"
"517","Busia","Employment",39.9,"Men","Busia, 39.9%"
"518","Busia","Education/training",7.6,"Men","Busia, 7.6%"
"519","Busia","Marriage formation",0,"Men","Busia, 0%"
"520","Busia","Family reasons",52,"Men","Busia, 52%"
"521","Busia","Forced displacment",0.5,"Men","Busia, 0.5%"
"522","Busia","Other",0,"Men","Busia, 0%"
"523","Siaya","Employment",35.5,"Men","Siaya, 35.5%"
"524","Siaya","Education/training",10.7,"Men","Siaya, 10.7%"
"525","Siaya","Marriage formation",0,"Men","Siaya, 0%"
"526","Siaya","Family reasons",51.8,"Men","Siaya, 51.8%"
"527","Siaya","Forced displacment",0.5,"Men","Siaya, 0.5%"
"528","Siaya","Other",1.6,"Men","Siaya, 1.6%"
"529","Kisumu","Employment",79.1,"Men","Kisumu, 79.1%"
"530","Kisumu","Education/training",4.1,"Men","Kisumu, 4.1%"
"531","Kisumu","Marriage formation",0,"Men","Kisumu, 0%"
"532","Kisumu","Family reasons",16.8,"Men","Kisumu, 16.8%"
"533","Kisumu","Forced displacment",0,"Men","Kisumu, 0%"
"534","Kisumu","Other",0,"Men","Kisumu, 0%"
"535","Homa Bay","Employment",39.2,"Men","Homa Bay, 39.2%"
"536","Homa Bay","Education/training",13.1,"Men","Homa Bay, 13.1%"
"537","Homa Bay","Marriage formation",0,"Men","Homa Bay, 0%"
"538","Homa Bay","Family reasons",47.7,"Men","Homa Bay, 47.7%"
"539","Homa Bay","Forced displacment",0,"Men","Homa Bay, 0%"
"540","Homa Bay","Other",0,"Men","Homa Bay, 0%"
"541","Migori","Employment",24.2,"Men","Migori, 24.2%"
"542","Migori","Education/training",6.7,"Men","Migori, 6.7%"
"543","Migori","Marriage formation",1.3,"Men","Migori, 1.3%"
"544","Migori","Family reasons",63.7,"Men","Migori, 63.7%"
"545","Migori","Forced displacment",2,"Men","Migori, 2%"
"546","Migori","Other",2.1,"Men","Migori, 2.1%"
"547","Kisii","Employment",23.7,"Men","Kisii, 23.7%"
"548","Kisii","Education/training",21.5,"Men","Kisii, 21.5%"
"549","Kisii","Marriage formation",0,"Men","Kisii, 0%"
"550","Kisii","Family reasons",53.3,"Men","Kisii, 53.3%"
"551","Kisii","Forced displacment",1.5,"Men","Kisii, 1.5%"
"552","Kisii","Other",0,"Men","Kisii, 0%"
"553","Nyamira","Employment",44.4,"Men","Nyamira, 44.4%"
"554","Nyamira","Education/training",7.9,"Men","Nyamira, 7.9%"
"555","Nyamira","Marriage formation",0,"Men","Nyamira, 0%"
"556","Nyamira","Family reasons",47.7,"Men","Nyamira, 47.7%"
"557","Nyamira","Forced displacment",0,"Men","Nyamira, 0%"
"558","Nyamira","Other",0,"Men","Nyamira, 0%"
"559","Nairobi","Employment",66.5,"Men","Nairobi, 66.5%"
"560","Nairobi","Education/training",16.2,"Men","Nairobi, 16.2%"
"561","Nairobi","Marriage formation",0.3,"Men","Nairobi, 0.3%"
"562","Nairobi","Family reasons",10.2,"Men","Nairobi, 10.2%"
"563","Nairobi","Forced displacment",0.7,"Men","Nairobi, 0.7%"
"564","Nairobi","Other",6.2,"Men","Nairobi, 6.2%"
