"Characteristics","Vaccines","Percent","group","indicator","Vaccines1"
"Fourth","Pneumococcal3",92.1,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Fourth","Rotavirus1",97.5,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Fourth","Rotavirus2",93.8,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Fourth","MR1",92.4,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Fourth","Fully vaccinated
(basic antigens)",82.7,"CountyFullyVaccinated12","Wealth quintile","Summary"
"Fourth","Fully vaccinated
(national schedule)",59.3,"CountyFullyVaccinated12","Wealth quintile","Summary"
"Fourth","No vaccinations",1.8,"CountyFullyVaccinated12","Wealth quintile","Summary"
"Highest","BCG",98,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","DPT1",98.2,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","DPT2",95,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","DPT3",90.4,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","OPV0",93.4,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","OPV1",97,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","OPV2",95.8,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","OPV3",77.1,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","IPV",90.4,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","Pneumococcal1",97.5,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","Pneumococcal2",97.4,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","Pneumococcal3",94.3,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","Rotavirus1",96.7,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","Rotavirus2",95,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","MR1",92.7,"CountyFullyVaccinated12","Wealth quintile","Vaccines"
"Highest","Fully vaccinated
(basic antigens)",83.1,"CountyFullyVaccinated12","Wealth quintile","Summary"
"Highest","Fully vaccinated
(national schedule)",59.1,"CountyFullyVaccinated12","Wealth quintile","Summary"
"Highest","No vaccinations",1.4,"CountyFullyVaccinated12","Wealth quintile","Summary"
"Male","MR2",69.7,"CountyFullyVaccinated24","Gender","Vaccines"
"Male","Fully vaccinated
(national schedule)",38.1,"CountyFullyVaccinated24","Gender","Summary"
"Female","MR2",63.8,"CountyFullyVaccinated24","Gender","Vaccines"
"Female","Fully vaccinated
(national schedule)",36.9,"CountyFullyVaccinated24","Gender","Summary"
"1","MR2",72.2,"CountyFullyVaccinated24","Birth","Vaccines"
"1","Fully vaccinated
(national schedule)",39.9,"CountyFullyVaccinated24","Birth","Summary"
"2–3","MR2",70.4,"CountyFullyVaccinated24","Birth","Vaccines"
"2–3","Fully vaccinated
(national schedule)",39.5,"CountyFullyVaccinated24","Birth","Summary"
"4–5","MR2",60.8,"CountyFullyVaccinated24","Birth","Vaccines"
"4–5","Fully vaccinated
(national schedule)",36.2,"CountyFullyVaccinated24","Birth","Summary"
"6+","MR2",46,"CountyFullyVaccinated24","Birth","Vaccines"
"6+","Fully vaccinated
(national schedule)",24.4,"CountyFullyVaccinated24","Birth","Summary"
"Seen","MR2",68.8,"CountyFullyVaccinated24","Card","Vaccines"
"Seen","Fully vaccinated
(national schedule)",51.5,"CountyFullyVaccinated24","Card","Summary"
"Not seen or 
 no longer has card","MR2",66.3,"CountyFullyVaccinated24","Card","Vaccines"
"Not seen or 
 no longer has card","Fully vaccinated
(national schedule)",16.2,"CountyFullyVaccinated24","Card","Summary"
"Never had card","MR2",18.4,"CountyFullyVaccinated24","Card","Vaccines"
"Never had card","Fully vaccinated
(national schedule)",0,"CountyFullyVaccinated24","Card","Summary"
"No education","MR2",33.4,"CountyFullyVaccinated24","Education","Vaccines"
"No education","Fully vaccinated
(national schedule)",14.7,"CountyFullyVaccinated24","Education","Summary"
"Primary","MR2",63,"CountyFullyVaccinated24","Education","Vaccines"
"Primary","Fully vaccinated
(national schedule)",34.1,"CountyFullyVaccinated24","Education","Summary"
"Secondary","MR2",72.6,"CountyFullyVaccinated24","Education","Vaccines"
"Secondary","Fully vaccinated
(national schedule)",42.6,"CountyFullyVaccinated24","Education","Summary"
"More than
 secondary","MR2",81.7,"CountyFullyVaccinated24","Education","Vaccines"
"More than
 secondary","Fully vaccinated
(national schedule)",47.1,"CountyFullyVaccinated24","Education","Summary"
"Male","MR2",69.7,"CountyFullyVaccinated24","Gender","Vaccines"
"Male","Fully vaccinated
(national schedule)",38.1,"CountyFullyVaccinated24","Gender","Summary"
"Female","MR2",63.8,"CountyFullyVaccinated24","Gender","Vaccines"
"Female","Fully vaccinated
(national schedule)",36.9,"CountyFullyVaccinated24","Gender","Summary"
"Urban","MR2",71.1,"CountyFullyVaccinated24","Residence","Vaccines"
"Urban","Fully vaccinated
(national schedule)",37.6,"CountyFullyVaccinated24","Residence","Summary"
"Rural","MR2",64.1,"CountyFullyVaccinated24","Residence","Vaccines"
"Rural","Fully vaccinated
(national schedule)",37.5,"CountyFullyVaccinated24","Residence","Summary"
"Lowest","MR2",50.1,"CountyFullyVaccinated24","Wealth quintile","Vaccines"
"Lowest","Fully vaccinated
(national schedule)",25.3,"CountyFullyVaccinated24","Wealth quintile","Summary"
"Second","MR2",66.5,"CountyFullyVaccinated24","Wealth quintile","Vaccines"
"Second","Fully vaccinated
(national schedule)",40.1,"CountyFullyVaccinated24","Wealth quintile","Summary"
"Middle","MR2",68.4,"CountyFullyVaccinated24","Wealth quintile","Vaccines"
"Middle","Fully vaccinated
(national schedule)",40.5,"CountyFullyVaccinated24","Wealth quintile","Summary"
"Fourth","MR2",71.1,"CountyFullyVaccinated24","Wealth quintile","Vaccines"
"Fourth","Fully vaccinated
(national schedule)",40.5,"CountyFullyVaccinated24","Wealth quintile","Summary"
"Highest","MR2",78,"CountyFullyVaccinated24","Wealth quintile","Vaccines"
"Highest","Fully vaccinated
(national schedule)",42.5,"CountyFullyVaccinated24","Wealth quintile","Summary"
