"","County","Category","Proportion","Participants","Names","cat"
"297","Narok","Elementary Occupations",19.2,"Women","Narok, 19.2%",">18.4"
"298","Kajiado","Legislators, Administrators & Managers",14.7,"Women","Kajiado, 14.7%","9.5-18.4"
"299","Kajiado","Professionals",8.9,"Women","Kajiado, 8.9%","5.5-9.4"
"300","Kajiado","Technicians & Associate Professionals",10.4,"Women","Kajiado, 10.4%","9.5-18.4"
"301","Kajiado","Secretarial & Clerical Services",2.6,"Women","Kajiado, 2.6%","1.9-5.4"
"302","Kajiado","Service Workers",24.9,"Women","Kajiado, 24.9%",">18.4"
"303","Kajiado","Skilled Farm & Wildlife Related Workers",3.7,"Women","Kajiado, 3.7%","1.9-5.4"
"304","Kajiado","Craft & Related Trades Workers",1.7,"Women","Kajiado, 1.7%","<1.9"
"305","Kajiado","Plant & Machine Operators",0.5,"Women","Kajiado, 0.5%","<1.9"
"306","Kajiado","Elementary Occupations",30,"Women","Kajiado, 30%",">18.4"
"307","Kericho","Legislators, Administrators & Managers",11.1,"Women","Kericho, 11.1%","9.5-18.4"
"308","Kericho","Professionals",2.1,"Women","Kericho, 2.1%","1.9-5.4"
"309","Kericho","Technicians & Associate Professionals",7.7,"Women","Kericho, 7.7%","5.5-9.4"
"310","Kericho","Secretarial & Clerical Services",1.4,"Women","Kericho, 1.4%","<1.9"
"311","Kericho","Service Workers",4.5,"Women","Kericho, 4.5%","1.9-5.4"
"312","Kericho","Skilled Farm & Wildlife Related Workers",61.7,"Women","Kericho, 61.7%",">18.4"
"313","Kericho","Craft & Related Trades Workers",0.1,"Women","Kericho, 0.1%","<1.9"
"314","Kericho","Plant & Machine Operators",0,"Women","Kericho, 0%","<1.9"
"315","Kericho","Elementary Occupations",8.8,"Women","Kericho, 8.8%","5.5-9.4"
"316","Bomet","Legislators, Administrators & Managers",2.8,"Women","Bomet, 2.8%","1.9-5.4"
"317","Bomet","Professionals",3.5,"Women","Bomet, 3.5%","1.9-5.4"
"318","Bomet","Technicians & Associate Professionals",7.1,"Women","Bomet, 7.1%","5.5-9.4"
"319","Bomet","Secretarial & Clerical Services",0.9,"Women","Bomet, 0.9%","<1.9"
"320","Bomet","Service Workers",9.3,"Women","Bomet, 9.3%","5.5-9.4"
"321","Bomet","Skilled Farm & Wildlife Related Workers",60.5,"Women","Bomet, 60.5%",">18.4"
"322","Bomet","Craft & Related Trades Workers",0.9,"Women","Bomet, 0.9%","<1.9"
"323","Bomet","Plant & Machine Operators",0.6,"Women","Bomet, 0.6%","<1.9"
"324","Bomet","Elementary Occupations",13.4,"Women","Bomet, 13.4%","9.5-18.4"
"325","Kakamega","Legislators, Administrators & Managers",6.3,"Women","Kakamega, 6.3%","5.5-9.4"
"326","Kakamega","Professionals",15.5,"Women","Kakamega, 15.5%","9.5-18.4"
"327","Kakamega","Technicians & Associate Professionals",8.4,"Women","Kakamega, 8.4%","5.5-9.4"
"328","Kakamega","Secretarial & Clerical Services",2.1,"Women","Kakamega, 2.1%","1.9-5.4"
"329","Kakamega","Service Workers",14.1,"Women","Kakamega, 14.1%","9.5-18.4"
"330","Kakamega","Skilled Farm & Wildlife Related Workers",22.2,"Women","Kakamega, 22.2%",">18.4"
"331","Kakamega","Craft & Related Trades Workers",1.3,"Women","Kakamega, 1.3%","<1.9"
"332","Kakamega","Plant & Machine Operators",1.1,"Women","Kakamega, 1.1%","<1.9"
"333","Kakamega","Elementary Occupations",26.7,"Women","Kakamega, 26.7%",">18.4"
"334","Vihiga","Legislators, Administrators & Managers",4.7,"Women","Vihiga, 4.7%","1.9-5.4"
"335","Vihiga","Professionals",4,"Women","Vihiga, 4%","1.9-5.4"
"336","Vihiga","Technicians & Associate Professionals",9.2,"Women","Vihiga, 9.2%","5.5-9.4"
"337","Vihiga","Secretarial & Clerical Services",0.4,"Women","Vihiga, 0.4%","<1.9"
"338","Vihiga","Service Workers",16.6,"Women","Vihiga, 16.6%","9.5-18.4"
"339","Vihiga","Skilled Farm & Wildlife Related Workers",15.5,"Women","Vihiga, 15.5%","9.5-18.4"
"340","Vihiga","Craft & Related Trades Workers",2.5,"Women","Vihiga, 2.5%","1.9-5.4"
"341","Vihiga","Plant & Machine Operators",0.3,"Women","Vihiga, 0.3%","<1.9"
"342","Vihiga","Elementary Occupations",45.8,"Women","Vihiga, 45.8%",">18.4"
"343","Bungoma","Legislators, Administrators & Managers",8,"Women","Bungoma, 8%","5.5-9.4"
"344","Bungoma","Professionals",5.4,"Women","Bungoma, 5.4%","1.9-5.4"
"345","Bungoma","Technicians & Associate Professionals",9.9,"Women","Bungoma, 9.9%","9.5-18.4"
"346","Bungoma","Secretarial & Clerical Services",1.1,"Women","Bungoma, 1.1%","<1.9"
"347","Bungoma","Service Workers",18.1,"Women","Bungoma, 18.1%","9.5-18.4"
"348","Bungoma","Skilled Farm & Wildlife Related Workers",21,"Women","Bungoma, 21%",">18.4"
"349","Bungoma","Craft & Related Trades Workers",0.9,"Women","Bungoma, 0.9%","<1.9"
"350","Bungoma","Plant & Machine Operators",0.4,"Women","Bungoma, 0.4%","<1.9"
"351","Bungoma","Elementary Occupations",33.6,"Women","Bungoma, 33.6%",">18.4"
"352","Busia","Legislators, Administrators & Managers",9.5,"Women","Busia, 9.5%","9.5-18.4"
"353","Busia","Professionals",2.6,"Women","Busia, 2.6%","1.9-5.4"
"354","Busia","Technicians & Associate Professionals",5.2,"Women","Busia, 5.2%","1.9-5.4"
"355","Busia","Secretarial & Clerical Services",0.5,"Women","Busia, 0.5%","<1.9"
"356","Busia","Service Workers",16.3,"Women","Busia, 16.3%","9.5-18.4"
"357","Busia","Skilled Farm & Wildlife Related Workers",44.6,"Women","Busia, 44.6%",">18.4"
"358","Busia","Craft & Related Trades Workers",2.9,"Women","Busia, 2.9%","1.9-5.4"
"359","Busia","Plant & Machine Operators",0.3,"Women","Busia, 0.3%","<1.9"
"360","Busia","Elementary Occupations",17.5,"Women","Busia, 17.5%","9.5-18.4"
"361","Siaya","Legislators, Administrators & Managers",6.2,"Women","Siaya, 6.2%","5.5-9.4"
"362","Siaya","Professionals",11.4,"Women","Siaya, 11.4%","9.5-18.4"
"363","Siaya","Technicians & Associate Professionals",10.2,"Women","Siaya, 10.2%","9.5-18.4"
"364","Siaya","Secretarial & Clerical Services",1.7,"Women","Siaya, 1.7%","<1.9"
"365","Siaya","Service Workers",20.7,"Women","Siaya, 20.7%",">18.4"
"366","Siaya","Skilled Farm & Wildlife Related Workers",19.4,"Women","Siaya, 19.4%",">18.4"
"367","Siaya","Craft & Related Trades Workers",3.4,"Women","Siaya, 3.4%","1.9-5.4"
"368","Siaya","Plant & Machine Operators",1,"Women","Siaya, 1%","<1.9"
"369","Siaya","Elementary Occupations",26,"Women","Siaya, 26%",">18.4"
"370","Kisumu","Legislators, Administrators & Managers",13.3,"Women","Kisumu, 13.3%","9.5-18.4"
"371","Kisumu","Professionals",3.1,"Women","Kisumu, 3.1%","1.9-5.4"
"372","Kisumu","Technicians & Associate Professionals",7.8,"Women","Kisumu, 7.8%","5.5-9.4"
"373","Kisumu","Secretarial & Clerical Services",3.8,"Women","Kisumu, 3.8%","1.9-5.4"
"374","Kisumu","Service Workers",29.4,"Women","Kisumu, 29.4%",">18.4"
"375","Kisumu","Skilled Farm & Wildlife Related Workers",3.9,"Women","Kisumu, 3.9%","1.9-5.4"
"376","Kisumu","Craft & Related Trades Workers",2.1,"Women","Kisumu, 2.1%","1.9-5.4"
"377","Kisumu","Plant & Machine Operators",0.9,"Women","Kisumu, 0.9%","<1.9"
"378","Kisumu","Elementary Occupations",32.9,"Women","Kisumu, 32.9%",">18.4"
"379","Homa Bay","Legislators, Administrators & Managers",13.6,"Women","Homa Bay, 13.6%","9.5-18.4"
"380","Homa Bay","Professionals",5.1,"Women","Homa Bay, 5.1%","1.9-5.4"
"381","Homa Bay","Technicians & Associate Professionals",8.4,"Women","Homa Bay, 8.4%","5.5-9.4"
"382","Homa Bay","Secretarial & Clerical Services",0.8,"Women","Homa Bay, 0.8%","<1.9"
"383","Homa Bay","Service Workers",23.5,"Women","Homa Bay, 23.5%",">18.4"
"384","Homa Bay","Skilled Farm & Wildlife Related Workers",28.6,"Women","Homa Bay, 28.6%",">18.4"
"385","Homa Bay","Craft & Related Trades Workers",2.1,"Women","Homa Bay, 2.1%","1.9-5.4"
"386","Homa Bay","Plant & Machine Operators",0.8,"Women","Homa Bay, 0.8%","<1.9"
"387","Homa Bay","Elementary Occupations",15.3,"Women","Homa Bay, 15.3%","9.5-18.4"
"388","Migori","Legislators, Administrators & Managers",4.9,"Women","Migori, 4.9%","1.9-5.4"
"389","Migori","Professionals",5,"Women","Migori, 5%","1.9-5.4"
"390","Migori","Technicians & Associate Professionals",5,"Women","Migori, 5%","1.9-5.4"
"391","Migori","Secretarial & Clerical Services",1.1,"Women","Migori, 1.1%","<1.9"
"392","Migori","Service Workers",10.8,"Women","Migori, 10.8%","9.5-18.4"
"393","Migori","Skilled Farm & Wildlife Related Workers",36.5,"Women","Migori, 36.5%",">18.4"
"394","Migori","Craft & Related Trades Workers",1.9,"Women","Migori, 1.9%","1.9-5.4"
"395","Migori","Plant & Machine Operators",0.4,"Women","Migori, 0.4%","<1.9"
"396","Migori","Elementary Occupations",33.9,"Women","Migori, 33.9%",">18.4"
"397","Kisii","Legislators, Administrators & Managers",4.7,"Women","Kisii, 4.7%","1.9-5.4"
"398","Kisii","Professionals",4.5,"Women","Kisii, 4.5%","1.9-5.4"
"399","Kisii","Technicians & Associate Professionals",6.5,"Women","Kisii, 6.5%","5.5-9.4"
"400","Kisii","Secretarial & Clerical Services",0.6,"Women","Kisii, 0.6%","<1.9"
"401","Kisii","Service Workers",16.8,"Women","Kisii, 16.8%","9.5-18.4"
"402","Kisii","Skilled Farm & Wildlife Related Workers",53.2,"Women","Kisii, 53.2%",">18.4"
"403","Kisii","Craft & Related Trades Workers",0,"Women","Kisii, 0%","<1.9"
"404","Kisii","Plant & Machine Operators",0.5,"Women","Kisii, 0.5%","<1.9"
"405","Kisii","Elementary Occupations",12.3,"Women","Kisii, 12.3%","9.5-18.4"
"406","Nyamira","Legislators, Administrators & Managers",6.1,"Women","Nyamira, 6.1%","5.5-9.4"
"407","Nyamira","Professionals",0.3,"Women","Nyamira, 0.3%","<1.9"
"408","Nyamira","Technicians & Associate Professionals",5.6,"Women","Nyamira, 5.6%","5.5-9.4"
"409","Nyamira","Secretarial & Clerical Services",0.9,"Women","Nyamira, 0.9%","<1.9"
"410","Nyamira","Service Workers",11,"Women","Nyamira, 11%","9.5-18.4"
"411","Nyamira","Skilled Farm & Wildlife Related Workers",59.4,"Women","Nyamira, 59.4%",">18.4"
"412","Nyamira","Craft & Related Trades Workers",0.3,"Women","Nyamira, 0.3%","<1.9"
"413","Nyamira","Plant & Machine Operators",0.1,"Women","Nyamira, 0.1%","<1.9"
"414","Nyamira","Elementary Occupations",15.9,"Women","Nyamira, 15.9%","9.5-18.4"
"415","Nairobi","Legislators, Administrators & Managers",9.3,"Women","Nairobi, 9.3%","5.5-9.4"
"416","Nairobi","Professionals",5.4,"Women","Nairobi, 5.4%","1.9-5.4"
"417","Nairobi","Technicians & Associate Professionals",10.2,"Women","Nairobi, 10.2%","9.5-18.4"
"418","Nairobi","Secretarial & Clerical Services",3.4,"Women","Nairobi, 3.4%","1.9-5.4"
"419","Nairobi","Service Workers",32.7,"Women","Nairobi, 32.7%",">18.4"
"420","Nairobi","Skilled Farm & Wildlife Related Workers",1.8,"Women","Nairobi, 1.8%","<1.9"
"421","Nairobi","Craft & Related Trades Workers",1.9,"Women","Nairobi, 1.9%","1.9-5.4"
"422","Nairobi","Plant & Machine Operators",1.9,"Women","Nairobi, 1.9%","1.9-5.4"
"423","Nairobi","Elementary Occupations",28.5,"Women","Nairobi, 28.5%",">18.4"
"424","Mombasa","Legislators, Administrators & Managers",7.3,"Men","Mombasa, 7.3%","5.5-9.4"
"425","Mombasa","Professionals",8.4,"Men","Mombasa, 8.4%","5.5-9.4"
"426","Mombasa","Technicians & Associate Professionals",8.8,"Men","Mombasa, 8.8%","5.5-9.4"
"427","Mombasa","Secretarial & Clerical Services",2.3,"Men","Mombasa, 2.3%","1.9-5.4"
"428","Mombasa","Service Workers",12.1,"Men","Mombasa, 12.1%","9.5-18.4"
"429","Mombasa","Skilled Farm & Wildlife Related Workers",2.7,"Men","Mombasa, 2.7%","1.9-5.4"
"430","Mombasa","Craft & Related Trades Workers",16,"Men","Mombasa, 16%","9.5-18.4"
"431","Mombasa","Plant & Machine Operators",14.3,"Men","Mombasa, 14.3%","9.5-18.4"
"432","Mombasa","Elementary Occupations",25.1,"Men","Mombasa, 25.1%",">18.4"
"433","Kwale","Legislators, Administrators & Managers",5.8,"Men","Kwale, 5.8%","5.5-9.4"
"434","Kwale","Professionals",2.7,"Men","Kwale, 2.7%","1.9-5.4"
"435","Kwale","Technicians & Associate Professionals",4.3,"Men","Kwale, 4.3%","1.9-5.4"
"436","Kwale","Secretarial & Clerical Services",1.9,"Men","Kwale, 1.9%","1.9-5.4"
"437","Kwale","Service Workers",18.5,"Men","Kwale, 18.5%",">18.4"
"438","Kwale","Skilled Farm & Wildlife Related Workers",14.1,"Men","Kwale, 14.1%","9.5-18.4"
"439","Kwale","Craft & Related Trades Workers",9.1,"Men","Kwale, 9.1%","5.5-9.4"
"440","Kwale","Plant & Machine Operators",12.6,"Men","Kwale, 12.6%","9.5-18.4"
"441","Kwale","Elementary Occupations",26.6,"Men","Kwale, 26.6%",">18.4"
"442","Kilifi","Legislators, Administrators & Managers",2.5,"Men","Kilifi, 2.5%","1.9-5.4"
"443","Kilifi","Professionals",2.5,"Men","Kilifi, 2.5%","1.9-5.4"
"444","Kilifi","Technicians & Associate Professionals",11.4,"Men","Kilifi, 11.4%","9.5-18.4"
"445","Kilifi","Secretarial & Clerical Services",0.8,"Men","Kilifi, 0.8%","<1.9"
"446","Kilifi","Service Workers",10.4,"Men","Kilifi, 10.4%","9.5-18.4"
"447","Kilifi","Skilled Farm & Wildlife Related Workers",14,"Men","Kilifi, 14%","9.5-18.4"
"448","Kilifi","Craft & Related Trades Workers",12.8,"Men","Kilifi, 12.8%","9.5-18.4"
"449","Kilifi","Plant & Machine Operators",15.2,"Men","Kilifi, 15.2%","9.5-18.4"
"450","Kilifi","Elementary Occupations",24.8,"Men","Kilifi, 24.8%",">18.4"
"451","Tana River","Legislators, Administrators & Managers",3.5,"Men","Tana River, 3.5%","1.9-5.4"
"452","Tana River","Professionals",2.4,"Men","Tana River, 2.4%","1.9-5.4"
"453","Tana River","Technicians & Associate Professionals",1.9,"Men","Tana River, 1.9%","1.9-5.4"
"454","Tana River","Secretarial & Clerical Services",0,"Men","Tana River, 0%","<1.9"
"455","Tana River","Service Workers",9.8,"Men","Tana River, 9.8%","9.5-18.4"
"456","Tana River","Skilled Farm & Wildlife Related Workers",25.9,"Men","Tana River, 25.9%",">18.4"
"457","Tana River","Craft & Related Trades Workers",6.4,"Men","Tana River, 6.4%","5.5-9.4"
"458","Tana River","Plant & Machine Operators",8.7,"Men","Tana River, 8.7%","5.5-9.4"
"459","Tana River","Elementary Occupations",40,"Men","Tana River, 40%",">18.4"
"460","Lamu","Legislators, Administrators & Managers",6.5,"Men","Lamu, 6.5%","5.5-9.4"
"461","Lamu","Professionals",1,"Men","Lamu, 1%","<1.9"
"462","Lamu","Technicians & Associate Professionals",5.2,"Men","Lamu, 5.2%","1.9-5.4"
"463","Lamu","Secretarial & Clerical Services",3.3,"Men","Lamu, 3.3%","1.9-5.4"
"464","Lamu","Service Workers",7.5,"Men","Lamu, 7.5%","5.5-9.4"
"465","Lamu","Skilled Farm & Wildlife Related Workers",34.7,"Men","Lamu, 34.7%",">18.4"
"466","Lamu","Craft & Related Trades Workers",12.6,"Men","Lamu, 12.6%","9.5-18.4"
"467","Lamu","Plant & Machine Operators",8.5,"Men","Lamu, 8.5%","5.5-9.4"
"468","Lamu","Elementary Occupations",18.5,"Men","Lamu, 18.5%",">18.4"
"469","Taita Taveta","Legislators, Administrators & Managers",5.9,"Men","Taita Taveta, 5.9%","5.5-9.4"
"470","Taita Taveta","Professionals",5.7,"Men","Taita Taveta, 5.7%","5.5-9.4"
"471","Taita Taveta","Technicians & Associate Professionals",5.6,"Men","Taita Taveta, 5.6%","5.5-9.4"
"472","Taita Taveta","Secretarial & Clerical Services",0,"Men","Taita Taveta, 0%","<1.9"
"473","Taita Taveta","Service Workers",4.8,"Men","Taita Taveta, 4.8%","1.9-5.4"
"474","Taita Taveta","Skilled Farm & Wildlife Related Workers",17.1,"Men","Taita Taveta, 17.1%","9.5-18.4"
"475","Taita Taveta","Craft & Related Trades Workers",14.9,"Men","Taita Taveta, 14.9%","9.5-18.4"
"476","Taita Taveta","Plant & Machine Operators",7.7,"Men","Taita Taveta, 7.7%","5.5-9.4"
"477","Taita Taveta","Elementary Occupations",38.2,"Men","Taita Taveta, 38.2%",">18.4"
"478","Garissa","Legislators, Administrators & Managers",7.6,"Men","Garissa, 7.6%","5.5-9.4"
"479","Garissa","Professionals",5,"Men","Garissa, 5%","1.9-5.4"
"480","Garissa","Technicians & Associate Professionals",8.1,"Men","Garissa, 8.1%","5.5-9.4"
"481","Garissa","Secretarial & Clerical Services",0.3,"Men","Garissa, 0.3%","<1.9"
"482","Garissa","Service Workers",17.9,"Men","Garissa, 17.9%","9.5-18.4"
"483","Garissa","Skilled Farm & Wildlife Related Workers",1.4,"Men","Garissa, 1.4%","<1.9"
"484","Garissa","Craft & Related Trades Workers",3.9,"Men","Garissa, 3.9%","1.9-5.4"
"485","Garissa","Plant & Machine Operators",22.2,"Men","Garissa, 22.2%",">18.4"
"486","Garissa","Elementary Occupations",33.4,"Men","Garissa, 33.4%",">18.4"
"487","Wajir","Legislators, Administrators & Managers",10.9,"Men","Wajir, 10.9%","9.5-18.4"
"488","Wajir","Professionals",8.5,"Men","Wajir, 8.5%","5.5-9.4"
"489","Wajir","Technicians & Associate Professionals",19.7,"Men","Wajir, 19.7%",">18.4"
"490","Wajir","Secretarial & Clerical Services",0.7,"Men","Wajir, 0.7%","<1.9"
"491","Wajir","Service Workers",7.4,"Men","Wajir, 7.4%","5.5-9.4"
"492","Wajir","Skilled Farm & Wildlife Related Workers",0.6,"Men","Wajir, 0.6%","<1.9"
"493","Wajir","Craft & Related Trades Workers",2.9,"Men","Wajir, 2.9%","1.9-5.4"
"494","Wajir","Plant & Machine Operators",16.9,"Men","Wajir, 16.9%","9.5-18.4"
"495","Wajir","Elementary Occupations",32.4,"Men","Wajir, 32.4%",">18.4"
"496","Mandera","Legislators, Administrators & Managers",11.2,"Men","Mandera, 11.2%","9.5-18.4"
"497","Mandera","Professionals",4.1,"Men","Mandera, 4.1%","1.9-5.4"
"498","Mandera","Technicians & Associate Professionals",8.2,"Men","Mandera, 8.2%","5.5-9.4"
"499","Mandera","Secretarial & Clerical Services",0,"Men","Mandera, 0%","<1.9"
"500","Mandera","Service Workers",7.8,"Men","Mandera, 7.8%","5.5-9.4"
"501","Mandera","Skilled Farm & Wildlife Related Workers",6.1,"Men","Mandera, 6.1%","5.5-9.4"
"502","Mandera","Craft & Related Trades Workers",9.3,"Men","Mandera, 9.3%","5.5-9.4"
"503","Mandera","Plant & Machine Operators",14.9,"Men","Mandera, 14.9%","9.5-18.4"
"504","Mandera","Elementary Occupations",32.7,"Men","Mandera, 32.7%",">18.4"
"505","Marsabit","Legislators, Administrators & Managers",2.9,"Men","Marsabit, 2.9%","1.9-5.4"
"506","Marsabit","Professionals",3.2,"Men","Marsabit, 3.2%","1.9-5.4"
"507","Marsabit","Technicians & Associate Professionals",10.1,"Men","Marsabit, 10.1%","9.5-18.4"
"508","Marsabit","Secretarial & Clerical Services",0,"Men","Marsabit, 0%","<1.9"
"509","Marsabit","Service Workers",15.3,"Men","Marsabit, 15.3%","9.5-18.4"
"510","Marsabit","Skilled Farm & Wildlife Related Workers",2.7,"Men","Marsabit, 2.7%","1.9-5.4"
"511","Marsabit","Craft & Related Trades Workers",0.6,"Men","Marsabit, 0.6%","<1.9"
"512","Marsabit","Plant & Machine Operators",21.3,"Men","Marsabit, 21.3%",">18.4"
"513","Marsabit","Elementary Occupations",41,"Men","Marsabit, 41%",">18.4"
"514","Isiolo","Legislators, Administrators & Managers",4.3,"Men","Isiolo, 4.3%","1.9-5.4"
"515","Isiolo","Professionals",7.1,"Men","Isiolo, 7.1%","5.5-9.4"
"516","Isiolo","Technicians & Associate Professionals",9.7,"Men","Isiolo, 9.7%","9.5-18.4"
"517","Isiolo","Secretarial & Clerical Services",0.5,"Men","Isiolo, 0.5%","<1.9"
"518","Isiolo","Service Workers",17.4,"Men","Isiolo, 17.4%","9.5-18.4"
"519","Isiolo","Skilled Farm & Wildlife Related Workers",4,"Men","Isiolo, 4%","1.9-5.4"
"520","Isiolo","Craft & Related Trades Workers",5.8,"Men","Isiolo, 5.8%","5.5-9.4"
"521","Isiolo","Plant & Machine Operators",13.9,"Men","Isiolo, 13.9%","9.5-18.4"
"522","Isiolo","Elementary Occupations",36.6,"Men","Isiolo, 36.6%",">18.4"
"523","Meru","Legislators, Administrators & Managers",8,"Men","Meru, 8%","5.5-9.4"
"524","Meru","Professionals",2.6,"Men","Meru, 2.6%","1.9-5.4"
"525","Meru","Technicians & Associate Professionals",3.8,"Men","Meru, 3.8%","1.9-5.4"
"526","Meru","Secretarial & Clerical Services",0.6,"Men","Meru, 0.6%","<1.9"
"527","Meru","Service Workers",6.7,"Men","Meru, 6.7%","5.5-9.4"
"528","Meru","Skilled Farm & Wildlife Related Workers",14.6,"Men","Meru, 14.6%","9.5-18.4"
"529","Meru","Craft & Related Trades Workers",11.1,"Men","Meru, 11.1%","9.5-18.4"
"530","Meru","Plant & Machine Operators",5.8,"Men","Meru, 5.8%","5.5-9.4"
"531","Meru","Elementary Occupations",46.5,"Men","Meru, 46.5%",">18.4"
"532","Tharaka Nithi","Legislators, Administrators & Managers",0.7,"Men","Tharaka Nithi, 0.7%","<1.9"
"533","Tharaka Nithi","Professionals",2.3,"Men","Tharaka Nithi, 2.3%","1.9-5.4"
"534","Tharaka Nithi","Technicians & Associate Professionals",5.3,"Men","Tharaka Nithi, 5.3%","1.9-5.4"
"535","Tharaka Nithi","Secretarial & Clerical Services",0.3,"Men","Tharaka Nithi, 0.3%","<1.9"
"536","Tharaka Nithi","Service Workers",15.5,"Men","Tharaka Nithi, 15.5%","9.5-18.4"
"537","Tharaka Nithi","Skilled Farm & Wildlife Related Workers",22.3,"Men","Tharaka Nithi, 22.3%",">18.4"
"538","Tharaka Nithi","Craft & Related Trades Workers",12.2,"Men","Tharaka Nithi, 12.2%","9.5-18.4"
"539","Tharaka Nithi","Plant & Machine Operators",6.8,"Men","Tharaka Nithi, 6.8%","5.5-9.4"
"540","Tharaka Nithi","Elementary Occupations",30.6,"Men","Tharaka Nithi, 30.6%",">18.4"
"541","Embu","Legislators, Administrators & Managers",3.1,"Men","Embu, 3.1%","1.9-5.4"
"542","Embu","Professionals",4.3,"Men","Embu, 4.3%","1.9-5.4"
"543","Embu","Technicians & Associate Professionals",7.7,"Men","Embu, 7.7%","5.5-9.4"
"544","Embu","Secretarial & Clerical Services",0,"Men","Embu, 0%","<1.9"
"545","Embu","Service Workers",15.2,"Men","Embu, 15.2%","9.5-18.4"
"546","Embu","Skilled Farm & Wildlife Related Workers",23.6,"Men","Embu, 23.6%",">18.4"
"547","Embu","Craft & Related Trades Workers",9.7,"Men","Embu, 9.7%","9.5-18.4"
"548","Embu","Plant & Machine Operators",10.7,"Men","Embu, 10.7%","9.5-18.4"
"549","Embu","Elementary Occupations",23.2,"Men","Embu, 23.2%",">18.4"
"550","Kitui","Legislators, Administrators & Managers",10.6,"Men","Kitui, 10.6%","9.5-18.4"
"551","Kitui","Professionals",1.3,"Men","Kitui, 1.3%","<1.9"
"552","Kitui","Technicians & Associate Professionals",4.2,"Men","Kitui, 4.2%","1.9-5.4"
"553","Kitui","Secretarial & Clerical Services",0,"Men","Kitui, 0%","<1.9"
"554","Kitui","Service Workers",9.2,"Men","Kitui, 9.2%","5.5-9.4"
"555","Kitui","Skilled Farm & Wildlife Related Workers",3.1,"Men","Kitui, 3.1%","1.9-5.4"
"556","Kitui","Craft & Related Trades Workers",9.3,"Men","Kitui, 9.3%","5.5-9.4"
"557","Kitui","Plant & Machine Operators",8.1,"Men","Kitui, 8.1%","5.5-9.4"
"558","Kitui","Elementary Occupations",51.3,"Men","Kitui, 51.3%",">18.4"
"559","Machakos","Legislators, Administrators & Managers",3.8,"Men","Machakos, 3.8%","1.9-5.4"
"560","Machakos","Professionals",8.3,"Men","Machakos, 8.3%","5.5-9.4"
"561","Machakos","Technicians & Associate Professionals",4.4,"Men","Machakos, 4.4%","1.9-5.4"
"562","Machakos","Secretarial & Clerical Services",1.3,"Men","Machakos, 1.3%","<1.9"
"563","Machakos","Service Workers",9.1,"Men","Machakos, 9.1%","5.5-9.4"
"564","Machakos","Skilled Farm & Wildlife Related Workers",9.9,"Men","Machakos, 9.9%","9.5-18.4"
"565","Machakos","Craft & Related Trades Workers",22.4,"Men","Machakos, 22.4%",">18.4"
"566","Machakos","Plant & Machine Operators",9.4,"Men","Machakos, 9.4%","5.5-9.4"
"567","Machakos","Elementary Occupations",27.5,"Men","Machakos, 27.5%",">18.4"
"568","Makueni","Legislators, Administrators & Managers",3.2,"Men","Makueni, 3.2%","1.9-5.4"
"569","Makueni","Professionals",3.3,"Men","Makueni, 3.3%","1.9-5.4"
"570","Makueni","Technicians & Associate Professionals",3.8,"Men","Makueni, 3.8%","1.9-5.4"
"571","Makueni","Secretarial & Clerical Services",0.3,"Men","Makueni, 0.3%","<1.9"
"572","Makueni","Service Workers",7.9,"Men","Makueni, 7.9%","5.5-9.4"
"573","Makueni","Skilled Farm & Wildlife Related Workers",6.9,"Men","Makueni, 6.9%","5.5-9.4"
"574","Makueni","Craft & Related Trades Workers",5.4,"Men","Makueni, 5.4%","1.9-5.4"
"575","Makueni","Plant & Machine Operators",13.7,"Men","Makueni, 13.7%","9.5-18.4"
"576","Makueni","Elementary Occupations",54.1,"Men","Makueni, 54.1%",">18.4"
"577","Nyandarua","Legislators, Administrators & Managers",6.7,"Men","Nyandarua, 6.7%","5.5-9.4"
"578","Nyandarua","Professionals",1.6,"Men","Nyandarua, 1.6%","<1.9"
"579","Nyandarua","Technicians & Associate Professionals",6.2,"Men","Nyandarua, 6.2%","5.5-9.4"
"580","Nyandarua","Secretarial & Clerical Services",0.1,"Men","Nyandarua, 0.1%","<1.9"
"581","Nyandarua","Service Workers",4.5,"Men","Nyandarua, 4.5%","1.9-5.4"
"582","Nyandarua","Skilled Farm & Wildlife Related Workers",37.4,"Men","Nyandarua, 37.4%",">18.4"
"583","Nyandarua","Craft & Related Trades Workers",12.9,"Men","Nyandarua, 12.9%","9.5-18.4"
"584","Nyandarua","Plant & Machine Operators",5.9,"Men","Nyandarua, 5.9%","5.5-9.4"
"585","Nyandarua","Elementary Occupations",23.6,"Men","Nyandarua, 23.6%",">18.4"
"586","Nyeri","Legislators, Administrators & Managers",1.2,"Men","Nyeri, 1.2%","<1.9"
"587","Nyeri","Professionals",3.7,"Men","Nyeri, 3.7%","1.9-5.4"
"588","Nyeri","Technicians & Associate Professionals",8.5,"Men","Nyeri, 8.5%","5.5-9.4"
"589","Nyeri","Secretarial & Clerical Services",0.8,"Men","Nyeri, 0.8%","<1.9"
"590","Nyeri","Service Workers",14.4,"Men","Nyeri, 14.4%","9.5-18.4"
"591","Nyeri","Skilled Farm & Wildlife Related Workers",28.7,"Men","Nyeri, 28.7%",">18.4"
"592","Nyeri","Craft & Related Trades Workers",21.9,"Men","Nyeri, 21.9%",">18.4"
