County,Category,Proportion,year,type,percentage_change
Turkana,Households with >=1 ITN,46.2,2014,Household possession of ITNs,NA
Turkana,"Households with >=1 ITN
per 2 people",16.3,2014,Household possession of ITNs,NA
West Pokot,Households with >=1 ITN,60.2,2014,Household possession of ITNs,NA
West Pokot,"Households with >=1 ITN
per 2 people",21.2,2014,Household possession of ITNs,NA
Samburu,Households with >=1 ITN,18.8,2014,Household possession of ITNs,NA
Samburu,"Households with >=1 ITN
per 2 people",8.7,2014,Household possession of ITNs,NA
Trans Nzoia,Households with >=1 ITN,70.6,2014,Household possession of ITNs,NA
Trans Nzoia,"Households with >=1 ITN
per 2 people",38.4,2014,Household possession of ITNs,NA
Uasin Gishu,Households with >=1 ITN,72,2014,Household possession of ITNs,NA
Uasin Gishu,"Households with >=1 ITN
per 2 people",49.7,2014,Household possession of ITNs,NA
Elgeyo Marakwet,Households with >=1 ITN,21.9,2014,Household possession of ITNs,NA
Elgeyo Marakwet,"Households with >=1 ITN
per 2 people",10.1,2014,Household possession of ITNs,NA
Nandi,Households with >=1 ITN,78.8,2014,Household possession of ITNs,NA
Nandi,"Households with >=1 ITN
per 2 people",41.9,2014,Household possession of ITNs,NA
Baringo,Households with >=1 ITN,59.8,2014,Household possession of ITNs,NA
Baringo,"Households with >=1 ITN
per 2 people",32.8,2014,Household possession of ITNs,NA
Laikipia,Households with >=1 ITN,17.5,2014,Household possession of ITNs,NA
Laikipia,"Households with >=1 ITN
per 2 people",10.6,2014,Household possession of ITNs,NA
Nakuru,Households with >=1 ITN,37.7,2014,Household possession of ITNs,NA
Nakuru,"Households with >=1 ITN
per 2 people",22.7,2014,Household possession of ITNs,NA
Narok,Households with >=1 ITN,52.2,2014,Household possession of ITNs,NA
Narok,"Households with >=1 ITN
per 2 people",25.4,2014,Household possession of ITNs,NA
Kajiado,Households with >=1 ITN,49.8,2014,Household possession of ITNs,NA
Kajiado,"Households with >=1 ITN
per 2 people",33.3,2014,Household possession of ITNs,NA
Kericho,Households with >=1 ITN,79.5,2014,Household possession of ITNs,NA
Kericho,"Households with >=1 ITN
per 2 people",45.4,2014,Household possession of ITNs,NA
Bomet,Households with >=1 ITN,77.6,2014,Household possession of ITNs,NA
Bomet,"Households with >=1 ITN
per 2 people",46.8,2014,Household possession of ITNs,NA
Kakamega,Households with >=1 ITN,78.8,2014,Household possession of ITNs,NA
Kakamega,"Households with >=1 ITN
per 2 people",47,2014,Household possession of ITNs,NA
Vihiga,Households with >=1 ITN,82.9,2014,Household possession of ITNs,NA
Vihiga,"Households with >=1 ITN
per 2 people",44.9,2014,Household possession of ITNs,NA
Bungoma,Households with >=1 ITN,82.9,2014,Household possession of ITNs,NA
Bungoma,"Households with >=1 ITN
per 2 people",41.7,2014,Household possession of ITNs,NA
Busia,Households with >=1 ITN,83.9,2014,Household possession of ITNs,NA
Busia,"Households with >=1 ITN
per 2 people",48.8,2014,Household possession of ITNs,NA
Siaya,Households with >=1 ITN,78.8,2014,Household possession of ITNs,NA
Siaya,"Households with >=1 ITN
per 2 people",41.6,2014,Household possession of ITNs,NA
Kisumu,Households with >=1 ITN,87.6,2014,Household possession of ITNs,NA
Kisumu,"Households with >=1 ITN
per 2 people",52.6,2014,Household possession of ITNs,NA
Homa Bay,Households with >=1 ITN,74.3,2014,Household possession of ITNs,NA
Homa Bay,"Households with >=1 ITN
per 2 people",37.5,2014,Household possession of ITNs,NA
Migori,Households with >=1 ITN,74.6,2014,Household possession of ITNs,NA
Migori,"Households with >=1 ITN
per 2 people",30.3,2014,Household possession of ITNs,NA
Kisii,Households with >=1 ITN,86.1,2014,Household possession of ITNs,NA
Kisii,"Households with >=1 ITN
per 2 people",54.4,2014,Household possession of ITNs,NA
Nyamira,Households with >=1 ITN,84.5,2014,Household possession of ITNs,NA
Nyamira,"Households with >=1 ITN
per 2 people",57.1,2014,Household possession of ITNs,NA
Nairobi,Households with >=1 ITN,43.3,2014,Household possession of ITNs,NA
Nairobi,"Households with >=1 ITN
per 2 people",28.5,2014,Household possession of ITNs,NA
