County,Category,year,type,Prop,Proportion
Uasin Gishu,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-3.8
Uasin Gishu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),56.8
Uasin Gishu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,14.3
Elgeyo Marakwet,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),25.3
Elgeyo Marakwet,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,15.5
Elgeyo Marakwet,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),10.1
Elgeyo Marakwet,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,0
Nandi,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),84
Nandi,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,6.6
Nandi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),69
Nandi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,64.7
Baringo,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),63.8
Baringo,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,6.7
Baringo,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),37.6
Baringo,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,14.6
Laikipia,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),24.9
Laikipia,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,42.3
Laikipia,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),15.9
Laikipia,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,50
Nakuru,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),27.5
Nakuru,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-27.1
Nakuru,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),15.3
Nakuru,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-32.6
Narok,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),76
Narok,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,45.6
Narok,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),54
Narok,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,112.6
Kajiado,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),38.8
Kajiado,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-22.1
Kajiado,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),20.9
Kajiado,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-37.2
Kericho,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),84.1
Kericho,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,5.8
Kericho,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),65.9
Kericho,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,45.2
Bomet,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),92.3
Bomet,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,18.9
Bomet,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),77.3
Bomet,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,65.2
Kakamega,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),89.1
Kakamega,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,13.1
Kakamega,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),66.9
Kakamega,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,42.3
Vihiga,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),92.5
Vihiga,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,11.6
Vihiga,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),75.8
Vihiga,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,68.8
Bungoma,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),89.4
Bungoma,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,7.8
Bungoma,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),70.6
Bungoma,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,69.3
Busia,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),93.5
Busia,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,11.4
Busia,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),67.4
Busia,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,38.1
Siaya,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),86.7
Siaya,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,10
Siaya,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),58.6
Siaya,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,40.9
Kisumu,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),76
Kisumu,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-13.2
Kisumu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),47
Kisumu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-10.6
Homa Bay,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),89.2
Homa Bay,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,20.1
Homa Bay,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),60.2
Homa Bay,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,60.5
Migori,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),87.7
Migori,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,17.6
Migori,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),54.2
Migori,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,78.9
Kisii,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),85
Kisii,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-1.3
Kisii,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),67.4
Kisii,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,23.9
Nyamira,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),93.6
Nyamira,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,10.8
Nyamira,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),80
Nyamira,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,40.1
Nairobi,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),23.4
Nairobi,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-46
Nairobi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),14.3
Nairobi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-49.8
Mombasa,Stunting,2014,Child nutritional status,Proportion (2014),21.1
Kwale,Stunting,2014,Child nutritional status,Proportion (2014),29.7
Kilifi,Stunting,2014,Child nutritional status,Proportion (2014),39.1
Tana River,Stunting,2014,Child nutritional status,Proportion (2014),28.1
Lamu,Stunting,2014,Child nutritional status,Proportion (2014),29.2
Taita Taveta,Stunting,2014,Child nutritional status,Proportion (2014),23.8
Garissa,Stunting,2014,Child nutritional status,Proportion (2014),15.6
Wajir,Stunting,2014,Child nutritional status,Proportion (2014),26.4
Mandera,Stunting,2014,Child nutritional status,Proportion (2014),36.1
Marsabit,Stunting,2014,Child nutritional status,Proportion (2014),26.5
Isiolo,Stunting,2014,Child nutritional status,Proportion (2014),19.1
Meru,Stunting,2014,Child nutritional status,Proportion (2014),25.2
Tharaka Nithi,Stunting,2014,Child nutritional status,Proportion (2014),32.9
Embu,Stunting,2014,Child nutritional status,Proportion (2014),26.8
Kitui,Stunting,2014,Child nutritional status,Proportion (2014),45.8
Machakos,Stunting,2014,Child nutritional status,Proportion (2014),26.5
Makueni,Stunting,2014,Child nutritional status,Proportion (2014),25.1
Nyandarua,Stunting,2014,Child nutritional status,Proportion (2014),29.4
Nyeri,Stunting,2014,Child nutritional status,Proportion (2014),15.1
Kirinyaga,Stunting,2014,Child nutritional status,Proportion (2014),17.2
Muranga,Stunting,2014,Child nutritional status,Proportion (2014),19.3
Kiambu,Stunting,2014,Child nutritional status,Proportion (2014),15.7
Turkana,Stunting,2014,Child nutritional status,Proportion (2014),23.9
West Pokot,Stunting,2014,Child nutritional status,Proportion (2014),45.9
Samburu,Stunting,2014,Child nutritional status,Proportion (2014),30.1
Trans Nzoia,Stunting,2014,Child nutritional status,Proportion (2014),29.2
Uasin Gishu,Stunting,2014,Child nutritional status,Proportion (2014),31.2
Elgeyo Marakwet,Stunting,2014,Child nutritional status,Proportion (2014),29.9
Nandi,Stunting,2014,Child nutritional status,Proportion (2014),29.9
Baringo,Stunting,2014,Child nutritional status,Proportion (2014),29.5
Laikipia,Stunting,2014,Child nutritional status,Proportion (2014),26.9
Nakuru,Stunting,2014,Child nutritional status,Proportion (2014),27.6
Narok,Stunting,2014,Child nutritional status,Proportion (2014),32.9
Kajiado,Stunting,2014,Child nutritional status,Proportion (2014),18.2
Kericho,Stunting,2014,Child nutritional status,Proportion (2014),28.7
Bomet,Stunting,2014,Child nutritional status,Proportion (2014),35.5
Kakamega,Stunting,2014,Child nutritional status,Proportion (2014),28.4
Vihiga,Stunting,2014,Child nutritional status,Proportion (2014),23.5
Bungoma,Stunting,2014,Child nutritional status,Proportion (2014),24.4
Busia,Stunting,2014,Child nutritional status,Proportion (2014),22
Siaya,Stunting,2014,Child nutritional status,Proportion (2014),24.7
Kisumu,Stunting,2014,Child nutritional status,Proportion (2014),18
Homa Bay,Stunting,2014,Child nutritional status,Proportion (2014),18.7
Migori,Stunting,2014,Child nutritional status,Proportion (2014),26.4
Kisii,Stunting,2014,Child nutritional status,Proportion (2014),25.5
Nyamira,Stunting,2014,Child nutritional status,Proportion (2014),25.5
Nairobi,Stunting,2014,Child nutritional status,Proportion (2014),17.2
Mombasa,Wasting,2014,Child nutritional status,Proportion (2014),4.1
Kwale,Wasting,2014,Child nutritional status,Proportion (2014),4.4
Kilifi,Wasting,2014,Child nutritional status,Proportion (2014),4.1
Tana River,Wasting,2014,Child nutritional status,Proportion (2014),5.7
Lamu,Wasting,2014,Child nutritional status,Proportion (2014),4.2
Taita Taveta,Wasting,2014,Child nutritional status,Proportion (2014),7.2
Garissa,Wasting,2014,Child nutritional status,Proportion (2014),11.4
Wajir,Wasting,2014,Child nutritional status,Proportion (2014),14.2
Mandera,Wasting,2014,Child nutritional status,Proportion (2014),14.8
Marsabit,Wasting,2014,Child nutritional status,Proportion (2014),16.3
Isiolo,Wasting,2014,Child nutritional status,Proportion (2014),9.1
Meru,Wasting,2014,Child nutritional status,Proportion (2014),2.9
Tharaka Nithi,Wasting,2014,Child nutritional status,Proportion (2014),3.3
Embu,Wasting,2014,Child nutritional status,Proportion (2014),3
Kitui,Wasting,2014,Child nutritional status,Proportion (2014),3.4
Machakos,Wasting,2014,Child nutritional status,Proportion (2014),6.5
Makueni,Wasting,2014,Child nutritional status,Proportion (2014),2.1
Nyandarua,Wasting,2014,Child nutritional status,Proportion (2014),2
Nyeri,Wasting,2014,Child nutritional status,Proportion (2014),2.4
Kirinyaga,Wasting,2014,Child nutritional status,Proportion (2014),3.9
Muranga,Wasting,2014,Child nutritional status,Proportion (2014),1.4
Kiambu,Wasting,2014,Child nutritional status,Proportion (2014),2.3
Turkana,Wasting,2014,Child nutritional status,Proportion (2014),22.9
West Pokot,Wasting,2014,Child nutritional status,Proportion (2014),14.3
Samburu,Wasting,2014,Child nutritional status,Proportion (2014),13.6
Trans Nzoia,Wasting,2014,Child nutritional status,Proportion (2014),3.9
Uasin Gishu,Wasting,2014,Child nutritional status,Proportion (2014),3
Elgeyo Marakwet,Wasting,2014,Child nutritional status,Proportion (2014),4.3
Nandi,Wasting,2014,Child nutritional status,Proportion (2014),3.9
Baringo,Wasting,2014,Child nutritional status,Proportion (2014),6.9
Laikipia,Wasting,2014,Child nutritional status,Proportion (2014),4.4
Nakuru,Wasting,2014,Child nutritional status,Proportion (2014),4.5
Narok,Wasting,2014,Child nutritional status,Proportion (2014),2.4
Kajiado,Wasting,2014,Child nutritional status,Proportion (2014),3
Kericho,Wasting,2014,Child nutritional status,Proportion (2014),5.6
Bomet,Wasting,2014,Child nutritional status,Proportion (2014),1.8
Kakamega,Wasting,2014,Child nutritional status,Proportion (2014),1.8
Vihiga,Wasting,2014,Child nutritional status,Proportion (2014),2.6
Bungoma,Wasting,2014,Child nutritional status,Proportion (2014),1.8
Busia,Wasting,2014,Child nutritional status,Proportion (2014),2.2
Siaya,Wasting,2014,Child nutritional status,Proportion (2014),0.2
Kisumu,Wasting,2014,Child nutritional status,Proportion (2014),0.8
Homa Bay,Wasting,2014,Child nutritional status,Proportion (2014),2.3
Migori,Wasting,2014,Child nutritional status,Proportion (2014),4
Kisii,Wasting,2014,Child nutritional status,Proportion (2014),1.7
Nyamira,Wasting,2014,Child nutritional status,Proportion (2014),4.1
Nairobi,Wasting,2014,Child nutritional status,Proportion (2014),2.5
Mombasa,Underweight,2014,Child nutritional status,Proportion (2014),9.6
Kwale,Underweight,2014,Child nutritional status,Proportion (2014),11.8
Kilifi,Underweight,2014,Child nutritional status,Proportion (2014),16.9
Tana River,Underweight,2014,Child nutritional status,Proportion (2014),18.6
Lamu,Underweight,2014,Child nutritional status,Proportion (2014),11.8
Taita Taveta,Underweight,2014,Child nutritional status,Proportion (2014),7.8
Garissa,Underweight,2014,Child nutritional status,Proportion (2014),13.1
Wajir,Underweight,2014,Child nutritional status,Proportion (2014),21.1
Mandera,Underweight,2014,Child nutritional status,Proportion (2014),24.9
Marsabit,Underweight,2014,Child nutritional status,Proportion (2014),30.1
Isiolo,Underweight,2014,Child nutritional status,Proportion (2014),12.9
Meru,Underweight,2014,Child nutritional status,Proportion (2014),8.1
Tharaka Nithi,Underweight,2014,Child nutritional status,Proportion (2014),10.8
Embu,Underweight,2014,Child nutritional status,Proportion (2014),11.1
Kitui,Underweight,2014,Child nutritional status,Proportion (2014),19.7
Machakos,Underweight,2014,Child nutritional status,Proportion (2014),8.1
Makueni,Underweight,2014,Child nutritional status,Proportion (2014),10.2
Nyandarua,Underweight,2014,Child nutritional status,Proportion (2014),6.8
Nyeri,Underweight,2014,Child nutritional status,Proportion (2014),2.5
Kirinyaga,Underweight,2014,Child nutritional status,Proportion (2014),7.7
Muranga,Underweight,2014,Child nutritional status,Proportion (2014),5.6
Kiambu,Underweight,2014,Child nutritional status,Proportion (2014),5.1
Turkana,Underweight,2014,Child nutritional status,Proportion (2014),34
West Pokot,Underweight,2014,Child nutritional status,Proportion (2014),38.5
Samburu,Underweight,2014,Child nutritional status,Proportion (2014),28.9
Trans Nzoia,Underweight,2014,Child nutritional status,Proportion (2014),15.3
Uasin Gishu,Underweight,2014,Child nutritional status,Proportion (2014),11.5
Elgeyo Marakwet,Underweight,2014,Child nutritional status,Proportion (2014),12.6
Nandi,Underweight,2014,Child nutritional status,Proportion (2014),11.1
Baringo,Underweight,2014,Child nutritional status,Proportion (2014),20.2
Laikipia,Underweight,2014,Child nutritional status,Proportion (2014),13.9
Nakuru,Underweight,2014,Child nutritional status,Proportion (2014),10.2
Narok,Underweight,2014,Child nutritional status,Proportion (2014),11.6
Kajiado,Underweight,2014,Child nutritional status,Proportion (2014),8.1
Kericho,Underweight,2014,Child nutritional status,Proportion (2014),12.4
Bomet,Underweight,2014,Child nutritional status,Proportion (2014),12
Kakamega,Underweight,2014,Child nutritional status,Proportion (2014),10.1
Vihiga,Underweight,2014,Child nutritional status,Proportion (2014),5.9
Bungoma,Underweight,2014,Child nutritional status,Proportion (2014),9
Busia,Underweight,2014,Child nutritional status,Proportion (2014),9
Siaya,Underweight,2014,Child nutritional status,Proportion (2014),7.8
Kisumu,Underweight,2014,Child nutritional status,Proportion (2014),6.6
Homa Bay,Underweight,2014,Child nutritional status,Proportion (2014),5.4
Migori,Underweight,2014,Child nutritional status,Proportion (2014),8.6
Kisii,Underweight,2014,Child nutritional status,Proportion (2014),8.4
Nyamira,Underweight,2014,Child nutritional status,Proportion (2014),9.6
Nairobi,Underweight,2014,Child nutritional status,Proportion (2014),3.8
Mombasa,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),56.9
Mombasa,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),38.9
Kwale,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),81
Kwale,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),47.8
Kilifi,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),73.1
Kilifi,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),41.5
Tana River,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),65.3
Tana River,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),33
Lamu,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),71.1
Lamu,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),51.2
Taita Taveta,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),80.4
Taita Taveta,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),60.6
Garissa,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),61.1
Garissa,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),34.4
Wajir,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),53.6
Wajir,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),18.1
Mandera,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),28.7
Mandera,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),10.9
Marsabit,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),24.7
Marsabit,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),7
Isiolo,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),62.7
Isiolo,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),31.5
Meru,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),53.5
Meru,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),30.6
Tharaka Nithi,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),67.2
Tharaka Nithi,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),45.8
Embu,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),55.9
Embu,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),35.3
Kitui,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),61.1
Kitui,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),29.3
Machakos,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),56
Machakos,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),31.5
Makueni,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),55.3
Makueni,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),27.7
Nyandarua,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),12.5
Nyandarua,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),7.1
Nyeri,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),19.7
Nyeri,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),11.9
Kirinyaga,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),68.5
Kirinyaga,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),54.3
Muranga,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),43.7
Muranga,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),27.1
Kiambu,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),39.9
Kiambu,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),25.2
Turkana,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),46.2
Turkana,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),16.3
West Pokot,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),60.2
West Pokot,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),21.2
Samburu,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),18.8
Samburu,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),8.7
Trans Nzoia,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),70.6
Trans Nzoia,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),38.4
Uasin Gishu,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),72
Uasin Gishu,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),49.7
Elgeyo Marakwet,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),21.9
Elgeyo Marakwet,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),10.1
Nandi,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),78.8
Nandi,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),41.9
Baringo,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),59.8
Baringo,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),32.8
Laikipia,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),17.5
Laikipia,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),10.6
Nakuru,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),37.7
Nakuru,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),22.7
Narok,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),52.2
Narok,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),25.4
Kajiado,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),49.8
Kajiado,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),33.3
Kericho,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),79.5
Kericho,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),45.4
Bomet,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),77.6
Bomet,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),46.8
Kakamega,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),78.8
Kakamega,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),47
Vihiga,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),82.9
Vihiga,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),44.9
Bungoma,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),82.9
Bungoma,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),41.7
Busia,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),83.9
Busia,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),48.8
Siaya,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),78.8
Siaya,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),41.6
Kisumu,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),87.6
Kisumu,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),52.6
Homa Bay,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),74.3
Homa Bay,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),37.5
Migori,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),74.6
Migori,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),30.3
Kisii,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),86.1
Kisii,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),54.4
Nyamira,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),84.5
Nyamira,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),57.1
Nairobi,Households with >=1 ITN,2014,Household possession of ITNs,Proportion (2014),43.3
Nairobi,"Households with >=1 ITN
per 2 people",2014,Household possession of ITNs,Proportion (2014),28.5
Mombasa,BCG,2014,Vaccination,Proportion (2014),100
Mombasa,DPT1,2014,Vaccination,Proportion (2014),100
Mombasa,DPT2,2014,Vaccination,Proportion (2014),98.3
Mombasa,DPT3,2014,Vaccination,Proportion (2014),95.6
Mombasa,OPV,2014,Vaccination,Proportion (2014),78.9
Mombasa,OPV1,2014,Vaccination,Proportion (2014),100
Mombasa,OPV2,2014,Vaccination,Proportion (2014),98.3
Mombasa,OPV3,2014,Vaccination,Proportion (2014),93.8
Mombasa,FULL_VACCINATION,2014,Vaccination,Proportion (2014),78.6
Kwale,BCG,2014,Vaccination,Proportion (2014),98.6
Kwale,DPT1,2014,Vaccination,Proportion (2014),96.7
Kwale,DPT2,2014,Vaccination,Proportion (2014),96.7
Kwale,DPT3,2014,Vaccination,Proportion (2014),95.1
Kwale,OPV,2014,Vaccination,Proportion (2014),73.5
Kwale,OPV1,2014,Vaccination,Proportion (2014),99.4
Kwale,OPV2,2014,Vaccination,Proportion (2014),95.9
Kwale,OPV3,2014,Vaccination,Proportion (2014),94.6
Kwale,FULL_VACCINATION,2014,Vaccination,Proportion (2014),84.5
Kilifi,BCG,2014,Vaccination,Proportion (2014),94.3
Kilifi,DPT1,2014,Vaccination,Proportion (2014),95.3
Kilifi,DPT2,2014,Vaccination,Proportion (2014),95.3
Kilifi,DPT3,2014,Vaccination,Proportion (2014),87.5
Kilifi,OPV,2014,Vaccination,Proportion (2014),81.9
Kilifi,OPV1,2014,Vaccination,Proportion (2014),96.2
Kilifi,OPV2,2014,Vaccination,Proportion (2014),95.8
Kilifi,OPV3,2014,Vaccination,Proportion (2014),88.8
Kilifi,FULL_VACCINATION,2014,Vaccination,Proportion (2014),74.1
Tana River,BCG,2014,Vaccination,Proportion (2014),97.1
Tana River,DPT1,2014,Vaccination,Proportion (2014),97.1
Tana River,DPT2,2014,Vaccination,Proportion (2014),95
Tana River,DPT3,2014,Vaccination,Proportion (2014),89.9
Tana River,OPV,2014,Vaccination,Proportion (2014),41.8
Tana River,OPV1,2014,Vaccination,Proportion (2014),97.1
Tana River,OPV2,2014,Vaccination,Proportion (2014),93.8
Tana River,OPV3,2014,Vaccination,Proportion (2014),89.4
Tana River,FULL_VACCINATION,2014,Vaccination,Proportion (2014),70.2
Lamu,BCG,2014,Vaccination,Proportion (2014),94.2
Lamu,DPT1,2014,Vaccination,Proportion (2014),99.3
Lamu,DPT2,2014,Vaccination,Proportion (2014),97
Lamu,DPT3,2014,Vaccination,Proportion (2014),84.7
Lamu,OPV,2014,Vaccination,Proportion (2014),62.1
