County,Category,Prop,Proportion
Kisumu,OPV1,Percentage change,1.1
Kisumu,OPV2,Percentage change,2.3
Kisumu,OPV3,Percentage change,-2.9
Kisumu,FULL_VACCINATION,Percentage change,-26
Homa Bay,BCG,Percentage change,3.9
Homa Bay,DPT1,Percentage change,-0.4
Homa Bay,DPT2,Percentage change,-2.6
Homa Bay,DPT3,Percentage change,4.5
Homa Bay,OPV,Percentage change,31.1
Homa Bay,OPV1,Percentage change,-0.3
Homa Bay,OPV2,Percentage change,-4.3
Homa Bay,OPV3,Percentage change,-13.2
Homa Bay,FULL_VACCINATION,Percentage change,-22.4
Migori,BCG,Percentage change,12
Migori,DPT1,Percentage change,0
Migori,DPT2,Percentage change,0.6
Migori,DPT3,Percentage change,1.5
Migori,OPV,Percentage change,56.5
Migori,OPV1,Percentage change,-0.9
Migori,OPV2,Percentage change,-1.3
Migori,OPV3,Percentage change,-8.8
Migori,FULL_VACCINATION,Percentage change,19.9
Kisii,BCG,Percentage change,-0.9
Kisii,DPT1,Percentage change,1.3
Kisii,DPT2,Percentage change,-2.2
Kisii,DPT3,Percentage change,0.4
Kisii,OPV,Percentage change,8.1
Kisii,OPV1,Percentage change,0
Kisii,OPV2,Percentage change,-3.7
Kisii,OPV3,Percentage change,-9.8
Kisii,FULL_VACCINATION,Percentage change,-0.7
Nyamira,BCG,Percentage change,1
Nyamira,DPT1,Percentage change,1
Nyamira,DPT2,Percentage change,-3.1
Nyamira,DPT3,Percentage change,-2.2
Nyamira,OPV,Percentage change,7.2
Nyamira,OPV1,Percentage change,-2.7
Nyamira,OPV2,Percentage change,-5.5
Nyamira,OPV3,Percentage change,-9.2
Nyamira,FULL_VACCINATION,Percentage change,-65.1
Nairobi,BCG,Percentage change,-0.8
Nairobi,DPT1,Percentage change,0.1
Nairobi,DPT2,Percentage change,-0.2
Nairobi,DPT3,Percentage change,-0.3
Nairobi,OPV,Percentage change,23.6
Nairobi,OPV1,Percentage change,-3.1
Nairobi,OPV2,Percentage change,-1.7
Nairobi,OPV3,Percentage change,-34.7
Nairobi,FULL_VACCINATION,Percentage change,-62.4
