"","County","Category","Proportion","Names","cat"
"333","Kisumu","Removal for treatment off-site",3.8,"Kisumu, 3.8%","0.9-10.6"
"334","Kisumu","Improved facilities",0,"Kisumu, 0%","<1.0"
"335","Kisumu","Unimproved facilities",26.3,"Kisumu, 26.3%","10.7-47.7"
"336","Kisumu","Open defecation",4.8,"Kisumu, 4.8%","0.9-10.6"
"337","Homa Bay","Appropriate management method",49.1,"Homa Bay, 49.1%",">47.7"
"338","Homa Bay","Connected to sewer",1,"Homa Bay, 1%","0.9-10.6"
"339","Homa Bay","Safe disposal from on-site facilities",46,"Homa Bay, 46%","10.7-47.7"
"340","Homa Bay","Unsafe disposal from on-site facilities",0.1,"Homa Bay, 0.1%","<1.0"
"341","Homa Bay","Removal for treatment off-site",2.1,"Homa Bay, 2.1%","0.9-10.6"
"342","Homa Bay","Improved facilities",0,"Homa Bay, 0%","<1.0"
"343","Homa Bay","Unimproved facilities",39.2,"Homa Bay, 39.2%","10.7-47.7"
"344","Homa Bay","Open defecation",11.5,"Homa Bay, 11.5%","10.7-47.7"
"345","Migori","Appropriate management method",35.7,"Migori, 35.7%","10.7-47.7"
"346","Migori","Connected to sewer",1.1,"Migori, 1.1%","0.9-10.6"
"347","Migori","Safe disposal from on-site facilities",33.9,"Migori, 33.9%","10.7-47.7"
"348","Migori","Unsafe disposal from on-site facilities",0,"Migori, 0%","<1.0"
"349","Migori","Removal for treatment off-site",0.6,"Migori, 0.6%","<1.0"
"350","Migori","Improved facilities",0.4,"Migori, 0.4%","<1.0"
"351","Migori","Unimproved facilities",51,"Migori, 51%",">47.7"
"352","Migori","Open defecation",13,"Migori, 13%","10.7-47.7"
"353","Kisii","Appropriate management method",42.5,"Kisii, 42.5%","10.7-47.7"
"354","Kisii","Connected to sewer",2,"Kisii, 2%","0.9-10.6"
"355","Kisii","Safe disposal from on-site facilities",39.6,"Kisii, 39.6%","10.7-47.7"
"356","Kisii","Unsafe disposal from on-site facilities",0.1,"Kisii, 0.1%","<1.0"
"357","Kisii","Removal for treatment off-site",0.9,"Kisii, 0.9%","<1.0"
"358","Kisii","Improved facilities",0.5,"Kisii, 0.5%","<1.0"
"359","Kisii","Unimproved facilities",56.8,"Kisii, 56.8%",">47.7"
"360","Kisii","Open defecation",0.1,"Kisii, 0.1%","<1.0"
"361","Nyamira","Appropriate management method",36.8,"Nyamira, 36.8%","10.7-47.7"
"362","Nyamira","Connected to sewer",0.3,"Nyamira, 0.3%","<1.0"
"363","Nyamira","Safe disposal from on-site facilities",36.3,"Nyamira, 36.3%","10.7-47.7"
"364","Nyamira","Unsafe disposal from on-site facilities",0,"Nyamira, 0%","<1.0"
"365","Nyamira","Removal for treatment off-site",0.3,"Nyamira, 0.3%","<1.0"
"366","Nyamira","Improved facilities",0.1,"Nyamira, 0.1%","<1.0"
"367","Nyamira","Unimproved facilities",63,"Nyamira, 63%",">47.7"
"368","Nyamira","Open defecation",0.1,"Nyamira, 0.1%","<1.0"
"369","Nairobi","Appropriate management method",91.6,"Nairobi, 91.6%",">47.7"
"370","Nairobi","Connected to sewer",65.5,"Nairobi, 65.5%",">47.7"
"371","Nairobi","Safe disposal from on-site facilities",19.9,"Nairobi, 19.9%","10.7-47.7"
"372","Nairobi","Unsafe disposal from on-site facilities",0.2,"Nairobi, 0.2%","<1.0"
"373","Nairobi","Removal for treatment off-site",6.1,"Nairobi, 6.1%","0.9-10.6"
"374","Nairobi","Improved facilities",2.5,"Nairobi, 2.5%","0.9-10.6"
"375","Nairobi","Unimproved facilities",5.7,"Nairobi, 5.7%","0.9-10.6"
"376","Nairobi","Open defecation",0,"Nairobi, 0%","<1.0"
