County,indicator,indicator1,values
Kilifi,Family planning,LAM,0.4
Kilifi,Family planning,Other,0
Tana River,Family planning,Contraceptive_use_any_method,24.8
Tana River,Family planning,Contraceptive_use_modern_method,23.2
Tana River,Family planning,Female_sterilization,0.5
Tana River,Family planning,Male_sterilization,0
Tana River,Family planning,IUD,1
Tana River,Family planning,Injectables,13.1
Tana River,Family planning,Implants,5.1
Tana River,Family planning,Pill,1.1
Tana River,Family planning,Male_condom,0.5
Tana River,Family planning,Female_condom,0
Tana River,Family planning,Emergency_contraception,0.8
Tana River,Family planning,SDM,0
Tana River,Family planning,LAM,1.2
Tana River,Family planning,Other,0
Lamu,Family planning,Contraceptive_use_any_method,42.4
Lamu,Family planning,Contraceptive_use_modern_method,39.2
Lamu,Family planning,Female_sterilization,0.5
Lamu,Family planning,Male_sterilization,0.4
Lamu,Family planning,IUD,1.1
Lamu,Family planning,Injectables,13.7
Lamu,Family planning,Implants,10.5
Lamu,Family planning,Pill,5.6
Lamu,Family planning,Male_condom,1.1
Lamu,Family planning,Female_condom,0
Lamu,Family planning,Emergency_contraception,0
Lamu,Family planning,SDM,2.8
Lamu,Family planning,LAM,3.4
Lamu,Family planning,Other,0
Taita Taveta,Family planning,Contraceptive_use_any_method,67.5
Taita Taveta,Family planning,Contraceptive_use_modern_method,64.5
Taita Taveta,Family planning,Female_sterilization,2.8
Taita Taveta,Family planning,Male_sterilization,0
Taita Taveta,Family planning,IUD,4.2
Taita Taveta,Family planning,Injectables,29.3
Taita Taveta,Family planning,Implants,15.4
Taita Taveta,Family planning,Pill,7.3
Taita Taveta,Family planning,Male_condom,1.8
Taita Taveta,Family planning,Female_condom,0
Taita Taveta,Family planning,Emergency_contraception,0.2
Taita Taveta,Family planning,SDM,2.5
Taita Taveta,Family planning,LAM,0.8
Taita Taveta,Family planning,Other,0
Garissa,Family planning,Contraceptive_use_any_method,12.7
Garissa,Family planning,Contraceptive_use_modern_method,11.1
Garissa,Family planning,Female_sterilization,1.4
Garissa,Family planning,Male_sterilization,0
Garissa,Family planning,IUD,0.2
Garissa,Family planning,Injectables,4.3
Garissa,Family planning,Implants,3.5
Garissa,Family planning,Pill,1.1
Garissa,Family planning,Male_condom,0.1
Garissa,Family planning,Female_condom,0
Garissa,Family planning,Emergency_contraception,0
Garissa,Family planning,SDM,0
Garissa,Family planning,LAM,0.5
Garissa,Family planning,Other,0
Wajir,Family planning,Contraceptive_use_any_method,3
Wajir,Family planning,Contraceptive_use_modern_method,2.8
Wajir,Family planning,Female_sterilization,0.1
Wajir,Family planning,Male_sterilization,0
Wajir,Family planning,IUD,0.2
Wajir,Family planning,Injectables,0.9
Wajir,Family planning,Implants,0.8
Wajir,Family planning,Pill,0.8
Wajir,Family planning,Male_condom,0
Wajir,Family planning,Female_condom,0
Wajir,Family planning,Emergency_contraception,0
Wajir,Family planning,SDM,0
Wajir,Family planning,LAM,0
Wajir,Family planning,Other,0
Mandera,Family planning,Contraceptive_use_any_method,2.1
Mandera,Family planning,Contraceptive_use_modern_method,1.8
Mandera,Family planning,Female_sterilization,0
Mandera,Family planning,Male_sterilization,0
Mandera,Family planning,IUD,0
Mandera,Family planning,Injectables,0.6
Mandera,Family planning,Implants,0.2
Mandera,Family planning,Pill,0.3
Mandera,Family planning,Male_condom,0
Mandera,Family planning,Female_condom,0
Mandera,Family planning,Emergency_contraception,0
Mandera,Family planning,SDM,0
Mandera,Family planning,LAM,0.8
Mandera,Family planning,Other,0
Marsabit,Family planning,Contraceptive_use_any_method,5.9
Marsabit,Family planning,Contraceptive_use_modern_method,5.6
Marsabit,Family planning,Female_sterilization,0.4
Marsabit,Family planning,Male_sterilization,0
Marsabit,Family planning,IUD,0
Marsabit,Family planning,Injectables,2.5
Marsabit,Family planning,Implants,2.6
Marsabit,Family planning,Pill,0.1
Marsabit,Family planning,Male_condom,0
Marsabit,Family planning,Female_condom,0
Marsabit,Family planning,Emergency_contraception,0
Marsabit,Family planning,SDM,0
Marsabit,Family planning,LAM,0
Marsabit,Family planning,Other,0
Isiolo,Family planning,Contraceptive_use_any_method,30.7
Isiolo,Family planning,Contraceptive_use_modern_method,28.7
Isiolo,Family planning,Female_sterilization,0.8
Isiolo,Family planning,Male_sterilization,0
Isiolo,Family planning,IUD,1.4
Isiolo,Family planning,Injectables,15.8
Isiolo,Family planning,Implants,4.4
Isiolo,Family planning,Pill,5.1
Isiolo,Family planning,Male_condom,0.7
Isiolo,Family planning,Female_condom,0
Isiolo,Family planning,Emergency_contraception,0
Isiolo,Family planning,SDM,0
Isiolo,Family planning,LAM,0.6
Isiolo,Family planning,Other,0
Meru,Family planning,Contraceptive_use_any_method,76
Meru,Family planning,Contraceptive_use_modern_method,69.7
Meru,Family planning,Female_sterilization,0.7
Meru,Family planning,Male_sterilization,0
Meru,Family planning,IUD,3.3
Meru,Family planning,Injectables,31.3
Meru,Family planning,Implants,22.9
Meru,Family planning,Pill,9.7
Meru,Family planning,Male_condom,0.1
Meru,Family planning,Female_condom,0
Meru,Family planning,Emergency_contraception,0.3
Meru,Family planning,SDM,0
Meru,Family planning,LAM,0
Meru,Family planning,Other,1.3
Tharaka Nithi,Family planning,Contraceptive_use_any_method,74.7
Tharaka Nithi,Family planning,Contraceptive_use_modern_method,67.9
Tharaka Nithi,Family planning,Female_sterilization,3
Tharaka Nithi,Family planning,Male_sterilization,0
Tharaka Nithi,Family planning,IUD,4.5
Tharaka Nithi,Family planning,Injectables,31.3
Tharaka Nithi,Family planning,Implants,19.5
Tharaka Nithi,Family planning,Pill,7.3
Tharaka Nithi,Family planning,Male_condom,1.7
Tharaka Nithi,Family planning,Female_condom,0
Tharaka Nithi,Family planning,Emergency_contraception,0
Tharaka Nithi,Family planning,SDM,0.3
Tharaka Nithi,Family planning,LAM,0.3
Tharaka Nithi,Family planning,Other,0
Embu,Family planning,Contraceptive_use_any_method,81.7
Embu,Family planning,Contraceptive_use_modern_method,75.2
Embu,Family planning,Female_sterilization,1.8
Embu,Family planning,Male_sterilization,0
Embu,Family planning,IUD,7.5
Embu,Family planning,Injectables,21.1
Embu,Family planning,Implants,19.6
Embu,Family planning,Pill,22.9
Embu,Family planning,Male_condom,0.5
Embu,Family planning,Female_condom,0
Embu,Family planning,Emergency_contraception,0
Embu,Family planning,SDM,1.7
Embu,Family planning,LAM,0.1
Embu,Family planning,Other,0
Kitui,Family planning,Contraceptive_use_any_method,68.3
Kitui,Family planning,Contraceptive_use_modern_method,62.4
Kitui,Family planning,Female_sterilization,1.2
Kitui,Family planning,Male_sterilization,0
Kitui,Family planning,IUD,1
Kitui,Family planning,Injectables,35.2
Kitui,Family planning,Implants,16.3
Kitui,Family planning,Pill,4.8
Kitui,Family planning,Male_condom,0.7
Kitui,Family planning,Female_condom,0
Kitui,Family planning,Emergency_contraception,2.4
Kitui,Family planning,SDM,0.7
Kitui,Family planning,LAM,0
Kitui,Family planning,Other,0
Machakos,Family planning,Contraceptive_use_any_method,76.3
Machakos,Family planning,Contraceptive_use_modern_method,66.4
Machakos,Family planning,Female_sterilization,3.4
Machakos,Family planning,Male_sterilization,0
Machakos,Family planning,IUD,4.9
Machakos,Family planning,Injectables,26.5
Machakos,Family planning,Implants,13.4
Machakos,Family planning,Pill,16
Machakos,Family planning,Male_condom,1.9
Machakos,Family planning,Female_condom,0
Machakos,Family planning,Emergency_contraception,0.2
Machakos,Family planning,SDM,0.3
Machakos,Family planning,LAM,0
Machakos,Family planning,Other,0
Makueni,Family planning,Contraceptive_use_any_method,73.3
Makueni,Family planning,Contraceptive_use_modern_method,64.4
Makueni,Family planning,Female_sterilization,4.4
Makueni,Family planning,Male_sterilization,0
Makueni,Family planning,IUD,2.9
Makueni,Family planning,Injectables,24.8
Makueni,Family planning,Implants,19.6
Makueni,Family planning,Pill,10.2
Makueni,Family planning,Male_condom,1.5
Makueni,Family planning,Female_condom,0
Makueni,Family planning,Emergency_contraception,0
Makueni,Family planning,SDM,0.1
Makueni,Family planning,LAM,0.7
Makueni,Family planning,Other,0
Nyandarua,Family planning,Contraceptive_use_any_method,71.4
Nyandarua,Family planning,Contraceptive_use_modern_method,66.7
Nyandarua,Family planning,Female_sterilization,2.3
Nyandarua,Family planning,Male_sterilization,0
Nyandarua,Family planning,IUD,12.2
Nyandarua,Family planning,Injectables,22.9
Nyandarua,Family planning,Implants,13.1
Nyandarua,Family planning,Pill,12
Nyandarua,Family planning,Male_condom,2.5
Nyandarua,Family planning,Female_condom,0
Nyandarua,Family planning,Emergency_contraception,0
Nyandarua,Family planning,SDM,0.1
Nyandarua,Family planning,LAM,1.1
Nyandarua,Family planning,Other,0.5
Nyeri,Family planning,Contraceptive_use_any_method,81
Nyeri,Family planning,Contraceptive_use_modern_method,70.5
Nyeri,Family planning,Female_sterilization,3.7
Nyeri,Family planning,Male_sterilization,0
Nyeri,Family planning,IUD,18.8
Nyeri,Family planning,Injectables,16.9
Nyeri,Family planning,Implants,12.6
Nyeri,Family planning,Pill,15.7
Nyeri,Family planning,Male_condom,1.5
Nyeri,Family planning,Female_condom,0
Nyeri,Family planning,Emergency_contraception,0
Nyeri,Family planning,SDM,0
Nyeri,Family planning,LAM,1.3
Nyeri,Family planning,Other,0.3
Kirinyaga,Family planning,Contraceptive_use_any_method,76.6
Kirinyaga,Family planning,Contraceptive_use_modern_method,70.8
Kirinyaga,Family planning,Female_sterilization,0.8
Kirinyaga,Family planning,Male_sterilization,0
Kirinyaga,Family planning,IUD,15.4
Kirinyaga,Family planning,Injectables,17.5
Kirinyaga,Family planning,Implants,16.2
Kirinyaga,Family planning,Pill,19
Kirinyaga,Family planning,Male_condom,1.4
Kirinyaga,Family planning,Female_condom,0
Kirinyaga,Family planning,Emergency_contraception,0.3
Kirinyaga,Family planning,SDM,0
Kirinyaga,Family planning,LAM,0.2
Kirinyaga,Family planning,Other,0
Muranga,Family planning,Contraceptive_use_any_method,72.7
Muranga,Family planning,Contraceptive_use_modern_method,67.3
Muranga,Family planning,Female_sterilization,1.4
Muranga,Family planning,Male_sterilization,0
Muranga,Family planning,IUD,7
Muranga,Family planning,Injectables,17.4
Muranga,Family planning,Implants,14.9
Muranga,Family planning,Pill,20.4
Muranga,Family planning,Male_condom,1.9
Muranga,Family planning,Female_condom,0
Muranga,Family planning,Emergency_contraception,1.3
Muranga,Family planning,SDM,0.7
Muranga,Family planning,LAM,2.2
Muranga,Family planning,Other,0
Kiambu,Family planning,Contraceptive_use_any_method,77.4
Kiambu,Family planning,Contraceptive_use_modern_method,68.2
Kiambu,Family planning,Female_sterilization,2.5
Kiambu,Family planning,Male_sterilization,0
Kiambu,Family planning,IUD,9.7
Kiambu,Family planning,Injectables,14.7
Kiambu,Family planning,Implants,22.5
Kiambu,Family planning,Pill,16.8
Kiambu,Family planning,Male_condom,0.6
Kiambu,Family planning,Female_condom,0
Kiambu,Family planning,Emergency_contraception,0
Kiambu,Family planning,SDM,0.6
Kiambu,Family planning,LAM,0.7
Kiambu,Family planning,Other,0
Turkana,Family planning,Contraceptive_use_any_method,43.8
Turkana,Family planning,Contraceptive_use_modern_method,30.7
Turkana,Family planning,Female_sterilization,1.3
Turkana,Family planning,Male_sterilization,0
Turkana,Family planning,IUD,0
Turkana,Family planning,Injectables,9.3
Turkana,Family planning,Implants,5.7
Turkana,Family planning,Pill,0.3
Turkana,Family planning,Male_condom,0.2
Turkana,Family planning,Female_condom,0
Turkana,Family planning,Emergency_contraception,0.2
Turkana,Family planning,SDM,0.5
Turkana,Family planning,LAM,13.2
Turkana,Family planning,Other,0
West Pokot,Family planning,Contraceptive_use_any_method,23.5
West Pokot,Family planning,Contraceptive_use_modern_method,23.2
West Pokot,Family planning,Female_sterilization,0.9
West Pokot,Family planning,Male_sterilization,0
West Pokot,Family planning,IUD,0.2
West Pokot,Family planning,Injectables,8.3
West Pokot,Family planning,Implants,11.7
West Pokot,Family planning,Pill,1.6
West Pokot,Family planning,Male_condom,0.1
West Pokot,Family planning,Female_condom,0
West Pokot,Family planning,Emergency_contraception,0
West Pokot,Family planning,SDM,0
West Pokot,Family planning,LAM,0.4
West Pokot,Family planning,Other,0
Samburu,Family planning,Contraceptive_use_any_method,33.7
Samburu,Family planning,Contraceptive_use_modern_method,25.4
Samburu,Family planning,Female_sterilization,0.3
Samburu,Family planning,Male_sterilization,0
Samburu,Family planning,IUD,2.8
Samburu,Family planning,Injectables,8.3
Samburu,Family planning,Implants,10.6
Samburu,Family planning,Pill,2.3
Samburu,Family planning,Male_condom,0.2
Samburu,Family planning,Female_condom,0
Samburu,Family planning,Emergency_contraception,0
Samburu,Family planning,SDM,0
Samburu,Family planning,LAM,0.9
Samburu,Family planning,Other,0
Trans Nzoia,Family planning,Contraceptive_use_any_method,69.8
Trans Nzoia,Family planning,Contraceptive_use_modern_method,65.4
Trans Nzoia,Family planning,Female_sterilization,3
Trans Nzoia,Family planning,Male_sterilization,0
Trans Nzoia,Family planning,IUD,2.2
Trans Nzoia,Family planning,Injectables,24.4
Trans Nzoia,Family planning,Implants,27
Trans Nzoia,Family planning,Pill,4.9
Trans Nzoia,Family planning,Male_condom,1.5
Trans Nzoia,Family planning,Female_condom,0
Trans Nzoia,Family planning,Emergency_contraception,0.1
Trans Nzoia,Family planning,SDM,1
Trans Nzoia,Family planning,LAM,1.2
Trans Nzoia,Family planning,Other,0
Uasin Gishu,Family planning,Contraceptive_use_any_method,71.1
Uasin Gishu,Family planning,Contraceptive_use_modern_method,62.7
Uasin Gishu,Family planning,Female_sterilization,1.5
Uasin Gishu,Family planning,Male_sterilization,0
Uasin Gishu,Family planning,IUD,5.8
Uasin Gishu,Family planning,Injectables,22.9
Uasin Gishu,Family planning,Implants,23.2
Uasin Gishu,Family planning,Pill,5.7
Uasin Gishu,Family planning,Male_condom,1.8
Uasin Gishu,Family planning,Female_condom,0
Uasin Gishu,Family planning,Emergency_contraception,0.5
Uasin Gishu,Family planning,SDM,0
Uasin Gishu,Family planning,LAM,1.2
Uasin Gishu,Family planning,Other,0
Elgeyo Marakwet,Family planning,Contraceptive_use_any_method,74.3
Elgeyo Marakwet,Family planning,Contraceptive_use_modern_method,59
Elgeyo Marakwet,Family planning,Female_sterilization,3.4
Elgeyo Marakwet,Family planning,Male_sterilization,0
Elgeyo Marakwet,Family planning,IUD,2.8
Elgeyo Marakwet,Family planning,Injectables,24.4
Elgeyo Marakwet,Family planning,Implants,20.4
Elgeyo Marakwet,Family planning,Pill,3
Elgeyo Marakwet,Family planning,Male_condom,2.2
Elgeyo Marakwet,Family planning,Female_condom,0.2
Elgeyo Marakwet,Family planning,Emergency_contraception,0.8
Elgeyo Marakwet,Family planning,SDM,0.1
Elgeyo Marakwet,Family planning,LAM,1.7
Elgeyo Marakwet,Family planning,Other,0
Nandi,Family planning,Contraceptive_use_any_method,65.6
Nandi,Family planning,Contraceptive_use_modern_method,60
Nandi,Family planning,Female_sterilization,1.6
Nandi,Family planning,Male_sterilization,0
Nandi,Family planning,IUD,0.2
Nandi,Family planning,Injectables,29.8
Nandi,Family planning,Implants,21
Nandi,Family planning,Pill,3.4
Nandi,Family planning,Male_condom,3
Nandi,Family planning,Female_condom,0
Nandi,Family planning,Emergency_contraception,0.3
Nandi,Family planning,SDM,0.2
Nandi,Family planning,LAM,0.5
Nandi,Family planning,Other,0
Baringo,Family planning,Contraceptive_use_any_method,57.8
Baringo,Family planning,Contraceptive_use_modern_method,47.7
Baringo,Family planning,Female_sterilization,0.5
Baringo,Family planning,Male_sterilization,0
Baringo,Family planning,IUD,3.3
Baringo,Family planning,Injectables,16.6
Baringo,Family planning,Implants,17.8
Baringo,Family planning,Pill,3.8
Baringo,Family planning,Male_condom,1.4
Baringo,Family planning,Female_condom,0
Baringo,Family planning,Emergency_contraception,0.3
Baringo,Family planning,SDM,0.6
Baringo,Family planning,LAM,3.5
Baringo,Family planning,Other,0
Laikipia,Family planning,Contraceptive_use_any_method,72.3
Laikipia,Family planning,Contraceptive_use_modern_method,64.5
Laikipia,Family planning,Female_sterilization,4.5
Laikipia,Family planning,Male_sterilization,0
Laikipia,Family planning,IUD,6.9
Laikipia,Family planning,Injectables,24
Laikipia,Family planning,Implants,15
Laikipia,Family planning,Pill,12.1
Laikipia,Family planning,Male_condom,1.2
Laikipia,Family planning,Female_condom,0
Laikipia,Family planning,Emergency_contraception,0.5
Laikipia,Family planning,SDM,0
Laikipia,Family planning,LAM,0.4
Laikipia,Family planning,Other,0
Nakuru,Family planning,Contraceptive_use_any_method,72.5
Nakuru,Family planning,Contraceptive_use_modern_method,66.6
Nakuru,Family planning,Female_sterilization,3.2
Nakuru,Family planning,Male_sterilization,0
Nakuru,Family planning,IUD,7.4
Nakuru,Family planning,Injectables,23.5
Nakuru,Family planning,Implants,18.5
Nakuru,Family planning,Pill,8.6
Nakuru,Family planning,Male_condom,2
Nakuru,Family planning,Female_condom,0
Nakuru,Family planning,Emergency_contraception,0.5
Nakuru,Family planning,SDM,1.2
Nakuru,Family planning,LAM,1.7
Nakuru,Family planning,Other,0
Narok,Family planning,Contraceptive_use_any_method,65.2
Narok,Family planning,Contraceptive_use_modern_method,52.2
Narok,Family planning,Female_sterilization,1.6
Narok,Family planning,Male_sterilization,0
Narok,Family planning,IUD,1
Narok,Family planning,Injectables,16.5
Narok,Family planning,Implants,24.5
Narok,Family planning,Pill,1.8
Narok,Family planning,Male_condom,0.8
Narok,Family planning,Female_condom,0
Narok,Family planning,Emergency_contraception,0
Narok,Family planning,SDM,1.5
Narok,Family planning,LAM,4.5
Narok,Family planning,Other,0
Kajiado,Family planning,Contraceptive_use_any_method,63.9
Kajiado,Family planning,Contraceptive_use_modern_method,57.3
Kajiado,Family planning,Female_sterilization,1.1
Kajiado,Family planning,Male_sterilization,0
Kajiado,Family planning,IUD,7.6
Kajiado,Family planning,Injectables,21.9
Kajiado,Family planning,Implants,12.9
Kajiado,Family planning,Pill,10.5
Kajiado,Family planning,Male_condom,2.1
Kajiado,Family planning,Female_condom,0
Kajiado,Family planning,Emergency_contraception,0.4
Kajiado,Family planning,SDM,0
Kajiado,Family planning,LAM,0.5
Kajiado,Family planning,Other,0
Kericho,Family planning,Contraceptive_use_any_method,60.2
Kericho,Family planning,Contraceptive_use_modern_method,60
Kericho,Family planning,Female_sterilization,2.8
Kericho,Family planning,Male_sterilization,0
Kericho,Family planning,IUD,1.6
Kericho,Family planning,Injectables,20.8
Kericho,Family planning,Implants,29.6
Kericho,Family planning,Pill,3.5
Kericho,Family planning,Male_condom,1.1
Kericho,Family planning,Female_condom,0
Kericho,Family planning,Emergency_contraception,0
Kericho,Family planning,SDM,0
Kericho,Family planning,LAM,0.6
Kericho,Family planning,Other,0
Bomet,Family planning,Contraceptive_use_any_method,63.9
Bomet,Family planning,Contraceptive_use_modern_method,57.8
Bomet,Family planning,Female_sterilization,8.3
Bomet,Family planning,Male_sterilization,0
Bomet,Family planning,IUD,1.2
Bomet,Family planning,Injectables,22.6
Bomet,Family planning,Implants,21.3
Bomet,Family planning,Pill,2.2
Bomet,Family planning,Male_condom,0.7
Bomet,Family planning,Female_condom,0
Bomet,Family planning,Emergency_contraception,0.6
Bomet,Family planning,SDM,0
Bomet,Family planning,LAM,0.8
Bomet,Family planning,Other,0
Kakamega,Family planning,Contraceptive_use_any_method,66.7
Kakamega,Family planning,Contraceptive_use_modern_method,63.4
Kakamega,Family planning,Female_sterilization,4.1
Kakamega,Family planning,Male_sterilization,0
Kakamega,Family planning,IUD,2.9
Kakamega,Family planning,Injectables,25
Kakamega,Family planning,Implants,26.4
Kakamega,Family planning,Pill,2.8
Kakamega,Family planning,Male_condom,1.6
Kakamega,Family planning,Female_condom,0
Kakamega,Family planning,Emergency_contraception,0
Kakamega,Family planning,SDM,0.3
Kakamega,Family planning,LAM,0
Kakamega,Family planning,Other,0.2
Vihiga,Family planning,Contraceptive_use_any_method,62.4
Vihiga,Family planning,Contraceptive_use_modern_method,60.1
Vihiga,Family planning,Female_sterilization,3.3
Vihiga,Family planning,Male_sterilization,0
Vihiga,Family planning,IUD,2.1
Vihiga,Family planning,Injectables,15.1
Vihiga,Family planning,Implants,34.6
Vihiga,Family planning,Pill,4.1
Vihiga,Family planning,Male_condom,0.8
Vihiga,Family planning,Female_condom,0
Vihiga,Family planning,Emergency_contraception,0
Vihiga,Family planning,SDM,0
Vihiga,Family planning,LAM,0
Vihiga,Family planning,Other,0
Bungoma,Family planning,Contraceptive_use_any_method,66
Bungoma,Family planning,Contraceptive_use_modern_method,63.7
Bungoma,Family planning,Female_sterilization,3.4
Bungoma,Family planning,Male_sterilization,0.3
Bungoma,Family planning,IUD,1.7
Bungoma,Family planning,Injectables,23.4
Bungoma,Family planning,Implants,26.8
Bungoma,Family planning,Pill,4.3
Bungoma,Family planning,Male_condom,1.4
Bungoma,Family planning,Female_condom,0.3
Bungoma,Family planning,Emergency_contraception,0.3
Bungoma,Family planning,SDM,1.6
Bungoma,Family planning,LAM,0.3
Bungoma,Family planning,Other,0
Busia,Family planning,Contraceptive_use_any_method,56.4
Busia,Family planning,Contraceptive_use_modern_method,55.4
Busia,Family planning,Female_sterilization,5.1
Busia,Family planning,Male_sterilization,0.3
Busia,Family planning,IUD,3.2
Busia,Family planning,Injectables,14.1
Busia,Family planning,Implants,27.6
Busia,Family planning,Pill,1.4
Busia,Family planning,Male_condom,2.4
Busia,Family planning,Female_condom,0
Busia,Family planning,Emergency_contraception,0.3
Busia,Family planning,SDM,0.4
Busia,Family planning,LAM,0.6
Busia,Family planning,Other,0
Siaya,Family planning,Contraceptive_use_any_method,43.5
Siaya,Family planning,Contraceptive_use_modern_method,42.9
Siaya,Family planning,Female_sterilization,2.2
Siaya,Family planning,Male_sterilization,0
Siaya,Family planning,IUD,0.5
Siaya,Family planning,Injectables,15.6
Siaya,Family planning,Implants,17
Siaya,Family planning,Pill,3.7
Siaya,Family planning,Male_condom,3.6
Siaya,Family planning,Female_condom,0
Siaya,Family planning,Emergency_contraception,0.3
Siaya,Family planning,SDM,0
Siaya,Family planning,LAM,0
Siaya,Family planning,Other,0
Kisumu,Family planning,Contraceptive_use_any_method,60
Kisumu,Family planning,Contraceptive_use_modern_method,56.6
Kisumu,Family planning,Female_sterilization,0.7
Kisumu,Family planning,Male_sterilization,0
Kisumu,Family planning,IUD,1.7
Kisumu,Family planning,Injectables,19.1
Kisumu,Family planning,Implants,25
Kisumu,Family planning,Pill,4.3
Kisumu,Family planning,Male_condom,4
Kisumu,Family planning,Female_condom,0
Kisumu,Family planning,Emergency_contraception,0.3
Kisumu,Family planning,SDM,0.8
Kisumu,Family planning,LAM,0.6
Kisumu,Family planning,Other,0
Homa Bay,Family planning,Contraceptive_use_any_method,56.8
Homa Bay,Family planning,Contraceptive_use_modern_method,54.3
Homa Bay,Family planning,Female_sterilization,3.6
Homa Bay,Family planning,Male_sterilization,0
Homa Bay,Family planning,IUD,0.7
Homa Bay,Family planning,Injectables,20.7
Homa Bay,Family planning,Implants,20.9
Homa Bay,Family planning,Pill,1.8
Homa Bay,Family planning,Male_condom,6.6
Homa Bay,Family planning,Female_condom,0
Homa Bay,Family planning,Emergency_contraception,0
Homa Bay,Family planning,SDM,0
Homa Bay,Family planning,LAM,0
Homa Bay,Family planning,Other,0
Migori,Family planning,Contraceptive_use_any_method,60.2
Migori,Family planning,Contraceptive_use_modern_method,54.7
Migori,Family planning,Female_sterilization,2.5
Migori,Family planning,Male_sterilization,0
Migori,Family planning,IUD,2.1
Migori,Family planning,Injectables,15.9
Migori,Family planning,Implants,28
Migori,Family planning,Pill,1.2
Migori,Family planning,Male_condom,4.1
Migori,Family planning,Female_condom,0.4
Migori,Family planning,Emergency_contraception,0
Migori,Family planning,SDM,0
Migori,Family planning,LAM,0.3
Migori,Family planning,Other,0
Kisii,Family planning,Contraceptive_use_any_method,68.1
Kisii,Family planning,Contraceptive_use_modern_method,63.5
Kisii,Family planning,Female_sterilization,3.2
Kisii,Family planning,Male_sterilization,0
Kisii,Family planning,IUD,3.5
Kisii,Family planning,Injectables,26.4
Kisii,Family planning,Implants,19.9
Kisii,Family planning,Pill,5.8
Kisii,Family planning,Male_condom,1.4
Kisii,Family planning,Female_condom,0
Kisii,Family planning,Emergency_contraception,0.2
Kisii,Family planning,SDM,2.1
Kisii,Family planning,LAM,1.1
Kisii,Family planning,Other,0
Nyamira,Family planning,Contraceptive_use_any_method,67.9
Nyamira,Family planning,Contraceptive_use_modern_method,64.8
Nyamira,Family planning,Female_sterilization,5.3
Nyamira,Family planning,Male_sterilization,0
Nyamira,Family planning,IUD,1.8
Nyamira,Family planning,Injectables,33.7
Nyamira,Family planning,Implants,18.3
Nyamira,Family planning,Pill,2.7
Nyamira,Family planning,Male_condom,1.3
Nyamira,Family planning,Female_condom,0
Nyamira,Family planning,Emergency_contraception,0.3
Nyamira,Family planning,SDM,0.6
Nyamira,Family planning,LAM,0.7
Nyamira,Family planning,Other,0
Nairobi,Family planning,Contraceptive_use_any_method,62.5
Nairobi,Family planning,Contraceptive_use_modern_method,56.2
Nairobi,Family planning,Female_sterilization,1.3
Nairobi,Family planning,Male_sterilization,0
Nairobi,Family planning,IUD,6.3
Nairobi,Family planning,Injectables,14.4
Nairobi,Family planning,Implants,12.9
Nairobi,Family planning,Pill,16.4
Nairobi,Family planning,Male_condom,3.1
Nairobi,Family planning,Female_condom,0
Nairobi,Family planning,Emergency_contraception,1
Nairobi,Family planning,SDM,0
Nairobi,Family planning,LAM,0.8
Nairobi,Family planning,Other,0
Mombasa,Teenage Pregnancy,Live birth,5.4
Mombasa,Teenage Pregnancy,Pregnancy loss,1
Mombasa,Teenage Pregnancy,Currently pregnant,2.9
Mombasa,Teenage Pregnancy,Ever pregnant,10.8
Kwale,Teenage Pregnancy,Live birth,11.5
Kwale,Teenage Pregnancy,Pregnancy loss,2.9
Kwale,Teenage Pregnancy,Currently pregnant,3.7
Kwale,Teenage Pregnancy,Ever pregnant,14.8
Kilifi,Teenage Pregnancy,Live birth,10.3
Kilifi,Teenage Pregnancy,Pregnancy loss,1.3
Kilifi,Teenage Pregnancy,Currently pregnant,3.8
Kilifi,Teenage Pregnancy,Ever pregnant,12.5
Tana River,Teenage Pregnancy,Live birth,12.4
Tana River,Teenage Pregnancy,Pregnancy loss,1.4
Tana River,Teenage Pregnancy,Currently pregnant,5.2
Tana River,Teenage Pregnancy,Ever pregnant,17.6
Lamu,Teenage Pregnancy,Live birth,11.5
Lamu,Teenage Pregnancy,Pregnancy loss,0.8
Lamu,Teenage Pregnancy,Currently pregnant,1.9
Lamu,Teenage Pregnancy,Ever pregnant,13.7
Taita Taveta,Teenage Pregnancy,Live birth,18.4
Taita Taveta,Teenage Pregnancy,Pregnancy loss,1.8
Taita Taveta,Teenage Pregnancy,Currently pregnant,1.8
Taita Taveta,Teenage Pregnancy,Ever pregnant,18.4
Garissa,Teenage Pregnancy,Live birth,11.6
Garissa,Teenage Pregnancy,Pregnancy loss,0.2
Garissa,Teenage Pregnancy,Currently pregnant,4.2
Garissa,Teenage Pregnancy,Ever pregnant,14.8
Wajir,Teenage Pregnancy,Live birth,7.5
Wajir,Teenage Pregnancy,Pregnancy loss,0.5
Wajir,Teenage Pregnancy,Currently pregnant,5.9
Wajir,Teenage Pregnancy,Ever pregnant,10.8
Mandera,Teenage Pregnancy,Live birth,11.4
Mandera,Teenage Pregnancy,Pregnancy loss,0.4
Mandera,Teenage Pregnancy,Currently pregnant,3
Mandera,Teenage Pregnancy,Ever pregnant,14.6
Marsabit,Teenage Pregnancy,Live birth,20.6
Marsabit,Teenage Pregnancy,Pregnancy loss,5.2
Marsabit,Teenage Pregnancy,Currently pregnant,9
Marsabit,Teenage Pregnancy,Ever pregnant,29.4
Isiolo,Teenage Pregnancy,Live birth,13.6
