"","County","Category","Proportion","Participants"
"562","Isiolo","Television",46.9,"Men"
"563","Isiolo","Newspaper/magazine",10.6,"Men"
"564","Isiolo","Mobile phone",3.8,"Men"
"565","Isiolo","Social media",49.6,"Men"
"566","Isiolo","Poster/leaflet/brochure",22.3,"Men"
"567","Isiolo","Outdoor sign/billboard",11.8,"Men"
"568","Isiolo","Friends/peers",56,"Men"
"569","Isiolo","Internet",38,"Men"
"570","Meru","Radio",59.8,"Men"
"571","Meru","Television",43.8,"Men"
"572","Meru","Newspaper/magazine",26.1,"Men"
"573","Meru","Mobile phone",10.5,"Men"
"574","Meru","Social media",36,"Men"
"575","Meru","Poster/leaflet/brochure",45.5,"Men"
"576","Meru","Outdoor sign/billboard",31.9,"Men"
"577","Meru","Friends/peers",58.5,"Men"
"578","Meru","Internet",31.9,"Men"
"579","Tharaka Nithi","Radio",66.9,"Men"
"580","Tharaka Nithi","Television",51.9,"Men"
"581","Tharaka Nithi","Newspaper/magazine",19.7,"Men"
"582","Tharaka Nithi","Mobile phone",10.4,"Men"
"583","Tharaka Nithi","Social media",32.7,"Men"
"584","Tharaka Nithi","Poster/leaflet/brochure",49.3,"Men"
"585","Tharaka Nithi","Outdoor sign/billboard",36,"Men"
"586","Tharaka Nithi","Friends/peers",72.5,"Men"
"587","Tharaka Nithi","Internet",30.4,"Men"
"588","Embu","Radio",55.3,"Men"
"589","Embu","Television",39.9,"Men"
"590","Embu","Newspaper/magazine",8.8,"Men"
"591","Embu","Mobile phone",9.3,"Men"
"592","Embu","Social media",15.3,"Men"
"593","Embu","Poster/leaflet/brochure",11.6,"Men"
"594","Embu","Outdoor sign/billboard",8.5,"Men"
"595","Embu","Friends/peers",52.4,"Men"
"596","Embu","Internet",16.4,"Men"
"597","Kitui","Radio",51.2,"Men"
"598","Kitui","Television",27.1,"Men"
"599","Kitui","Newspaper/magazine",11.7,"Men"
"600","Kitui","Mobile phone",5,"Men"
"601","Kitui","Social media",8,"Men"
"602","Kitui","Poster/leaflet/brochure",31.2,"Men"
"603","Kitui","Outdoor sign/billboard",8.4,"Men"
"604","Kitui","Friends/peers",40.6,"Men"
"605","Kitui","Internet",17.4,"Men"
"606","Machakos","Radio",96.5,"Men"
"607","Machakos","Television",88.3,"Men"
"608","Machakos","Newspaper/magazine",41.1,"Men"
"609","Machakos","Mobile phone",35.5,"Men"
"610","Machakos","Social media",37.6,"Men"
"611","Machakos","Poster/leaflet/brochure",31.1,"Men"
"612","Machakos","Outdoor sign/billboard",35.8,"Men"
"613","Machakos","Friends/peers",58.6,"Men"
"614","Machakos","Internet",32.9,"Men"
"615","Makueni","Radio",89,"Men"
"616","Makueni","Television",49.9,"Men"
"617","Makueni","Newspaper/magazine",21,"Men"
"618","Makueni","Mobile phone",3.1,"Men"
"619","Makueni","Social media",28.1,"Men"
"620","Makueni","Poster/leaflet/brochure",60.8,"Men"
"621","Makueni","Outdoor sign/billboard",17.9,"Men"
"622","Makueni","Friends/peers",67.5,"Men"
"623","Makueni","Internet",17.8,"Men"
"624","Nyandarua","Radio",60.6,"Men"
"625","Nyandarua","Television",58,"Men"
"626","Nyandarua","Newspaper/magazine",33,"Men"
"627","Nyandarua","Mobile phone",11.3,"Men"
"628","Nyandarua","Social media",47.7,"Men"
"629","Nyandarua","Poster/leaflet/brochure",36.1,"Men"
"630","Nyandarua","Outdoor sign/billboard",27.8,"Men"
"631","Nyandarua","Friends/peers",63.9,"Men"
"632","Nyandarua","Internet",47,"Men"
"633","Nyeri","Radio",58,"Men"
"634","Nyeri","Television",54.7,"Men"
"635","Nyeri","Newspaper/magazine",31.5,"Men"
"636","Nyeri","Mobile phone",3.5,"Men"
"637","Nyeri","Social media",42.8,"Men"
"638","Nyeri","Poster/leaflet/brochure",59.5,"Men"
"639","Nyeri","Outdoor sign/billboard",8,"Men"
"640","Nyeri","Friends/peers",45.3,"Men"
"641","Nyeri","Internet",46.3,"Men"
"642","Kirinyaga","Radio",92.1,"Men"
"643","Kirinyaga","Television",88,"Men"
"644","Kirinyaga","Newspaper/magazine",18.6,"Men"
"645","Kirinyaga","Mobile phone",11,"Men"
"646","Kirinyaga","Social media",56.3,"Men"
"647","Kirinyaga","Poster/leaflet/brochure",9.1,"Men"
"648","Kirinyaga","Outdoor sign/billboard",71,"Men"
"649","Kirinyaga","Friends/peers",87.9,"Men"
"650","Kirinyaga","Internet",50.6,"Men"
"651","Muranga","Radio",66.2,"Men"
"652","Muranga","Television",61.3,"Men"
"653","Muranga","Newspaper/magazine",26.4,"Men"
"654","Muranga","Mobile phone",15.3,"Men"
"655","Muranga","Social media",38.5,"Men"
"656","Muranga","Poster/leaflet/brochure",69.1,"Men"
"657","Muranga","Outdoor sign/billboard",35.7,"Men"
"658","Muranga","Friends/peers",55.1,"Men"
"659","Muranga","Internet",34.5,"Men"
"660","Kiambu","Radio",70.3,"Men"
"661","Kiambu","Television",62.3,"Men"
"662","Kiambu","Newspaper/magazine",25.1,"Men"
"663","Kiambu","Mobile phone",8.4,"Men"
"664","Kiambu","Social media",50.2,"Men"
"665","Kiambu","Poster/leaflet/brochure",32.4,"Men"
"666","Kiambu","Outdoor sign/billboard",26.9,"Men"
"667","Kiambu","Friends/peers",69.3,"Men"
"668","Kiambu","Internet",47,"Men"
"669","Turkana","Radio",35.4,"Men"
"670","Turkana","Television",25.3,"Men"
"671","Turkana","Newspaper/magazine",9.1,"Men"
"672","Turkana","Mobile phone",2.3,"Men"
"673","Turkana","Social media",6.4,"Men"
"674","Turkana","Poster/leaflet/brochure",13.8,"Men"
"675","Turkana","Outdoor sign/billboard",40.7,"Men"
"676","Turkana","Friends/peers",33.5,"Men"
"677","Turkana","Internet",9.9,"Men"
"678","West Pokot","Radio",81.3,"Men"
"679","West Pokot","Television",34.7,"Men"
"680","West Pokot","Newspaper/magazine",12.5,"Men"
"681","West Pokot","Mobile phone",13.1,"Men"
"682","West Pokot","Social media",19.3,"Men"
"683","West Pokot","Poster/leaflet/brochure",22.5,"Men"
"684","West Pokot","Outdoor sign/billboard",38,"Men"
"685","West Pokot","Friends/peers",62.7,"Men"
"686","West Pokot","Internet",16,"Men"
"687","Samburu","Radio",74,"Men"
"688","Samburu","Television",51.9,"Men"
"689","Samburu","Newspaper/magazine",18.9,"Men"
"690","Samburu","Mobile phone",19.3,"Men"
"691","Samburu","Social media",38.6,"Men"
"692","Samburu","Poster/leaflet/brochure",48.5,"Men"
"693","Samburu","Outdoor sign/billboard",40.8,"Men"
"694","Samburu","Friends/peers",80.8,"Men"
"695","Samburu","Internet",37.5,"Men"
"696","Trans Nzoia","Radio",79.5,"Men"
"697","Trans Nzoia","Television",69,"Men"
"698","Trans Nzoia","Newspaper/magazine",21.6,"Men"
"699","Trans Nzoia","Mobile phone",8.1,"Men"
"700","Trans Nzoia","Social media",23,"Men"
"701","Trans Nzoia","Poster/leaflet/brochure",21.4,"Men"
"702","Trans Nzoia","Outdoor sign/billboard",54.7,"Men"
"703","Trans Nzoia","Friends/peers",97.6,"Men"
"704","Trans Nzoia","Internet",37.2,"Men"
"705","Uasin Gishu","Radio",85.9,"Men"
"706","Uasin Gishu","Television",77.5,"Men"
"707","Uasin Gishu","Newspaper/magazine",53.2,"Men"
"708","Uasin Gishu","Mobile phone",9.5,"Men"
"709","Uasin Gishu","Social media",62.1,"Men"
"710","Uasin Gishu","Poster/leaflet/brochure",86.1,"Men"
"711","Uasin Gishu","Outdoor sign/billboard",61.4,"Men"
"712","Uasin Gishu","Friends/peers",83.3,"Men"
"713","Uasin Gishu","Internet",56.2,"Men"
"714","Elgeyo Marakwet","Radio",75,"Men"
"715","Elgeyo Marakwet","Television",59.2,"Men"
"716","Elgeyo Marakwet","Newspaper/magazine",25.4,"Men"
"717","Elgeyo Marakwet","Mobile phone",6.5,"Men"
"718","Elgeyo Marakwet","Social media",37,"Men"
"719","Elgeyo Marakwet","Poster/leaflet/brochure",59.4,"Men"
"720","Elgeyo Marakwet","Outdoor sign/billboard",29.5,"Men"
"721","Elgeyo Marakwet","Friends/peers",61.6,"Men"
"722","Elgeyo Marakwet","Internet",26.2,"Men"
"723","Nandi","Radio",75.3,"Men"
"724","Nandi","Television",46.8,"Men"
"725","Nandi","Newspaper/magazine",17,"Men"
"726","Nandi","Mobile phone",9.9,"Men"
"727","Nandi","Social media",16,"Men"
"728","Nandi","Poster/leaflet/brochure",34.4,"Men"
"729","Nandi","Outdoor sign/billboard",31.8,"Men"
"730","Nandi","Friends/peers",42.6,"Men"
"731","Nandi","Internet",14.2,"Men"
"732","Baringo","Radio",59.1,"Men"
"733","Baringo","Television",30.2,"Men"
"734","Baringo","Newspaper/magazine",14.9,"Men"
"735","Baringo","Mobile phone",2.9,"Men"
"736","Baringo","Social media",26.3,"Men"
"737","Baringo","Poster/leaflet/brochure",12.1,"Men"
"738","Baringo","Outdoor sign/billboard",17.3,"Men"
"739","Baringo","Friends/peers",29,"Men"
"740","Baringo","Internet",10.4,"Men"
"741","Laikipia","Radio",57.4,"Men"
"742","Laikipia","Television",57.6,"Men"
"743","Laikipia","Newspaper/magazine",19.7,"Men"
"744","Laikipia","Mobile phone",7.4,"Men"
"745","Laikipia","Social media",47.7,"Men"
"746","Laikipia","Poster/leaflet/brochure",10.4,"Men"
"747","Laikipia","Outdoor sign/billboard",18.5,"Men"
"748","Laikipia","Friends/peers",52.5,"Men"
"749","Laikipia","Internet",38.4,"Men"
"750","Nakuru","Radio",69.1,"Men"
"751","Nakuru","Television",58.8,"Men"
"752","Nakuru","Newspaper/magazine",36.2,"Men"
"753","Nakuru","Mobile phone",17.1,"Men"
"754","Nakuru","Social media",29.9,"Men"
"755","Nakuru","Poster/leaflet/brochure",42.3,"Men"
"756","Nakuru","Outdoor sign/billboard",31.2,"Men"
"757","Nakuru","Friends/peers",79.3,"Men"
"758","Nakuru","Internet",40.9,"Men"
"759","Narok","Radio",85.5,"Men"
"760","Narok","Television",74.4,"Men"
"761","Narok","Newspaper/magazine",15.9,"Men"
"762","Narok","Mobile phone",18.5,"Men"
"763","Narok","Social media",45,"Men"
"764","Narok","Poster/leaflet/brochure",86.7,"Men"
"765","Narok","Outdoor sign/billboard",67.5,"Men"
"766","Narok","Friends/peers",89,"Men"
"767","Narok","Internet",31.4,"Men"
"768","Kajiado","Radio",69.3,"Men"
"769","Kajiado","Television",58.7,"Men"
"770","Kajiado","Newspaper/magazine",41.2,"Men"
"771","Kajiado","Mobile phone",18.6,"Men"
"772","Kajiado","Social media",53.9,"Men"
"773","Kajiado","Poster/leaflet/brochure",57.6,"Men"
"774","Kajiado","Outdoor sign/billboard",54.6,"Men"
"775","Kajiado","Friends/peers",68.2,"Men"
"776","Kajiado","Internet",62.6,"Men"
"777","Kericho","Radio",93,"Men"
"778","Kericho","Television",85.7,"Men"
"779","Kericho","Newspaper/magazine",66.2,"Men"
"780","Kericho","Mobile phone",12.5,"Men"
"781","Kericho","Social media",45.7,"Men"
"782","Kericho","Poster/leaflet/brochure",75.1,"Men"
"783","Kericho","Outdoor sign/billboard",83.6,"Men"
"784","Kericho","Friends/peers",84.3,"Men"
"785","Kericho","Internet",64.3,"Men"
"786","Bomet","Radio",74.8,"Men"
"787","Bomet","Television",27.3,"Men"
"788","Bomet","Newspaper/magazine",14.5,"Men"
"789","Bomet","Mobile phone",7.1,"Men"
"790","Bomet","Social media",21.3,"Men"
"791","Bomet","Poster/leaflet/brochure",80.8,"Men"
"792","Bomet","Outdoor sign/billboard",39.6,"Men"
"793","Bomet","Friends/peers",67.5,"Men"
"794","Bomet","Internet",16,"Men"
"795","Kakamega","Radio",75.2,"Men"
"796","Kakamega","Television",46.8,"Men"
"797","Kakamega","Newspaper/magazine",14.5,"Men"
"798","Kakamega","Mobile phone",1.1,"Men"
"799","Kakamega","Social media",11.2,"Men"
"800","Kakamega","Poster/leaflet/brochure",3.4,"Men"
"801","Kakamega","Outdoor sign/billboard",34.2,"Men"
"802","Kakamega","Friends/peers",45.8,"Men"
"803","Kakamega","Internet",12.2,"Men"
"804","Vihiga","Radio",63,"Men"
"805","Vihiga","Television",47.1,"Men"
"806","Vihiga","Newspaper/magazine",22.6,"Men"
"807","Vihiga","Mobile phone",17.2,"Men"
"808","Vihiga","Social media",39.4,"Men"
"809","Vihiga","Poster/leaflet/brochure",54.8,"Men"
"810","Vihiga","Outdoor sign/billboard",46.5,"Men"
"811","Vihiga","Friends/peers",62.3,"Men"
"812","Vihiga","Internet",25.6,"Men"
"813","Bungoma","Radio",63.6,"Men"
"814","Bungoma","Television",51.5,"Men"
"815","Bungoma","Newspaper/magazine",34.7,"Men"
"816","Bungoma","Mobile phone",25.6,"Men"
"817","Bungoma","Social media",44.2,"Men"
"818","Bungoma","Poster/leaflet/brochure",46.5,"Men"
"819","Bungoma","Outdoor sign/billboard",54.6,"Men"
"820","Bungoma","Friends/peers",67.3,"Men"
"821","Bungoma","Internet",45,"Men"
"822","Busia","Radio",48.5,"Men"
"823","Busia","Television",30.8,"Men"
"824","Busia","Newspaper/magazine",17.5,"Men"
"825","Busia","Mobile phone",11.2,"Men"
"826","Busia","Social media",23.6,"Men"
"827","Busia","Poster/leaflet/brochure",26.8,"Men"
"828","Busia","Outdoor sign/billboard",39.9,"Men"
"829","Busia","Friends/peers",58.8,"Men"
"830","Busia","Internet",23.2,"Men"
"831","Siaya","Radio",80.4,"Men"
"832","Siaya","Television",59.1,"Men"
"833","Siaya","Newspaper/magazine",42.1,"Men"
"834","Siaya","Mobile phone",6.9,"Men"
"835","Siaya","Social media",27.3,"Men"
"836","Siaya","Poster/leaflet/brochure",57.7,"Men"
"837","Siaya","Outdoor sign/billboard",52.2,"Men"
"838","Siaya","Friends/peers",86.8,"Men"
"839","Siaya","Internet",36.5,"Men"
"840","Kisumu","Radio",61.2,"Men"
"841","Kisumu","Television",26.4,"Men"
"842","Kisumu","Newspaper/magazine",11.4,"Men"
"843","Kisumu","Mobile phone",1.9,"Men"
"844","Kisumu","Social media",31.5,"Men"
"845","Kisumu","Poster/leaflet/brochure",26.6,"Men"
"846","Kisumu","Outdoor sign/billboard",15.6,"Men"
"847","Kisumu","Friends/peers",56.7,"Men"
"848","Kisumu","Internet",29.7,"Men"
"849","Homa Bay","Radio",69.2,"Men"
"850","Homa Bay","Television",52.5,"Men"
"851","Homa Bay","Newspaper/magazine",37.6,"Men"
"852","Homa Bay","Mobile phone",22.4,"Men"
"853","Homa Bay","Social media",53.5,"Men"
"854","Homa Bay","Poster/leaflet/brochure",47.8,"Men"
"855","Homa Bay","Outdoor sign/billboard",64.9,"Men"
"856","Homa Bay","Friends/peers",71.1,"Men"
"857","Homa Bay","Internet",42.7,"Men"
"858","Migori","Radio",69.4,"Men"
"859","Migori","Television",46.1,"Men"
"860","Migori","Newspaper/magazine",18.9,"Men"
"861","Migori","Mobile phone",12.2,"Men"
"862","Migori","Social media",36.9,"Men"
"863","Migori","Poster/leaflet/brochure",55.1,"Men"
"864","Migori","Outdoor sign/billboard",39.8,"Men"
"865","Migori","Friends/peers",67.9,"Men"
"866","Migori","Internet",32.9,"Men"
"867","Kisii","Radio",78.9,"Men"
"868","Kisii","Television",46,"Men"
"869","Kisii","Newspaper/magazine",4.4,"Men"
"870","Kisii","Mobile phone",1.6,"Men"
"871","Kisii","Social media",33.8,"Men"
"872","Kisii","Poster/leaflet/brochure",31.3,"Men"
"873","Kisii","Outdoor sign/billboard",53.4,"Men"
"874","Kisii","Friends/peers",95.6,"Men"
"875","Kisii","Internet",40.2,"Men"
"876","Nyamira","Radio",71.6,"Men"
"877","Nyamira","Television",44.2,"Men"
"878","Nyamira","Newspaper/magazine",19.8,"Men"
"879","Nyamira","Mobile phone",20.8,"Men"
"880","Nyamira","Social media",27.3,"Men"
"881","Nyamira","Poster/leaflet/brochure",53.3,"Men"
"882","Nyamira","Outdoor sign/billboard",60.9,"Men"
"883","Nyamira","Friends/peers",67.2,"Men"
"884","Nyamira","Internet",24.5,"Men"
"885","Nairobi","Radio",60.8,"Men"
"886","Nairobi","Television",66.8,"Men"
"887","Nairobi","Newspaper/magazine",51.5,"Men"
"888","Nairobi","Mobile phone",37.9,"Men"
"889","Nairobi","Social media",75.8,"Men"
"890","Nairobi","Poster/leaflet/brochure",68.7,"Men"
"891","Nairobi","Outdoor sign/billboard",59.1,"Men"
"892","Nairobi","Friends/peers",70.3,"Men"
"893","Nairobi","Internet",66.4,"Men"
